EventNumber,Detail,Vividness,Valence,Regret,Control,R1,R2,difference
64,4,3,5,6,4,4,4,5
30,6,6,2,8,3,5,5,4
38,5,4,4,7,2,7,7,4
67,4,4,5,6,5,3,3,4
68,4,5,4,6,3,6,6,4
3,3,3,4,6,6,4,7,3
18,2,3,4,4,5,4,7,3
19,5,4,3,6,4,4,7,3
20,2,3,5,5,4,4,5,3
27,5,6,2,7,2,7,6,3
34,5,4,2,7,5,4,4,3
37,4,5,3,7,2,4,5,3
41,5,5,2,8,3,7,5,3
44,5,4,4,6,3,4,5,3
45,5,4,2,7,2,4,5,3
58,6,6,2,8,2,4,6,3
61,4,4,3,7,3,4,5,3
69,5,4,4,7,4,6,5,3
71,5,5,2,7,2,4,6,3
74,5,4,4,5,3,4,6,3
2,4,5,4,7,3,4,6,2
6,3,2,5,2,4,4,2,2
7,4,5,6,3,4,5,7,2
13,5,4,4,3,7,4,2,2
15,5,5,2,7,3,3,1,2
17,3,4,2,7,3,4,6,2
21,5,4,4,4,3,5,7,2
31,4,4,4,6,3,4,6,2
39,5,5,3,8,2,4,2,2
49,4,5,3,4,3,5,7,2
50,4,4,4,3,3,7,5,2
54,5,5,3,7,3,3,1,2
56,5,5,2,8,2,5,7,2
62,4,4,3,6,2,6,4,2
66,6,6,3,8,2,7,5,2
76,4,3,5,7,2,4,6,2
1,5,6,6,4,6,5,4,1
4,5,5,3,7,3,3,2,1
5,6,6,3,7,2,3,2,1
9,4,4,5,6,2,6,7,1
10,3,3,4,6,4,3,4,1
11,5,5,3,3,6,5,6,1
25,4,6,3,7,4,6,7,1
32,4,4,5,4,3,5,6,1
33,3,4,4,2,4,4,5,1
35,4,4,3,8,4,6,5,1
36,2,2,5,7,6,6,5,1
42,5,5,3,5,2,6,7,1
46,5,5,3,8,3,6,7,1
47,4,4,3,7,3,5,6,1
55,4,5,2,8,3,5,6,1
57,4,4,3,7,3,6,7,1
60,6,6,2,8,3,6,7,1
63,3,3,4,7,3,6,7,1
65,4,3,5,7,3,6,7,1
75,5,4,5,4,3,6,7,1
78,4,4,3,6,3,7,6,1
80,4,4,3,8,2,3,4,1
8,4,4,4,4,2,3,3,0
12,4,4,5,4,5,6,6,0
14,5,4,6,3,6,7,7,0
16,4,4,3,4,4,7,7,0
22,4,5,6,2,4,5,5,0
23,5,5,3,8,6,7,7,0
24,4,5,3,6,2,4,4,0
26,4,4,4,6,3,7,7,0
28,3,3,5,6,5,7,7,0
29,3,3,4,6,6,7,7,0
40,4,3,5,6,5,7,7,0
43,3,3,5,3,4,6,6,0
48,3,3,5,2,5,7,7,0
51,5,4,4,2,5,7,7,0
52,4,4,5,3,4,7,7,0
53,4,4,4,7,3,6,6,0
59,4,4,4,8,4,7,7,0
70,4,5,3,8,4,7,7,0
72,4,3,5,3,3,7,7,0
73,5,4,4,6,3,5,5,0
77,3,3,5,6,3,6,6,0
79,4,5,2,8,4,7,7,0
