Condition,Frequency,sub,EventNumber
Context,1,7,77
Self,2,7,69
Context,3,7,55
Self,3,7,76
Self,4,7,42
Context,1,7,40
Context,2,7,41
Context,2,7,36
Self,2,7,20
Self,4,7,49
Context,4,7,7
Self,2,7,70
Context,1,7,56
Self,4,7,60
Self,2,7,62
Context,1,7,22
Self,1,7,27
Self,1,7,43
Context,3,7,58
Self,3,7,23
Context,3,7,66
Context,1,7,32
Context,3,7,11
Self,4,7,1
Self,4,7,14
Context,3,7,16
Self,2,7,72
Self,1,7,75
Context,5,7,19
Context,4,7,61
Self,1,7,47
Context,2,7,21
Self,3,7,18
Context,1,7,53
Context,3,7,38
Self,2,7,74
Context,1,7,50
Self,4,7,25
Context,3,7,12
Context,2,7,46
Self,3,7,51
Self,1,7,26
Context,4,7,34
Context,1,7,59
Context,3,7,3
Self,,7,73
Self,3,7,65
Self,4,7,79
Context,5,7,45
Self,3,7,9
Context,2,7,17
Self,3,7,28
Self,2,7,44
Context,1,7,63
Context,3,7,78
Self,4,7,31
Self,1,7,33
Context,3,7,37
Self,1,7,48
Context,2,7,71
Context,3,7,57
Self,1,7,30
Self,3,7,29
Context,2,7,35
,,,52
,,,2
,,,68
