EventNumber,Detail,Vividness,Valence,Regret,Control,R1,R2,difference
21,5,3,4,5,6,7,7,6
54,3,3,3,4,7,3,5,6
55,5,4,3,6,7,3,5,6
63,6,6,2,6,1,1,3,5
64,6,6,1,7,1,1,3,5
65,7,7,1,7,1,1,3,5
68,5,6,4,3,5,1,1,5
7,2,2,3,1,1,7,3,4
10,6,5,7,2,2,3,7,4
13,7,7,2,7,5,4,5,4
41,3,2,3,4,7,1,1,4
42,3,3,3,6,6,6,7,4
49,6,5,3,6,7,2,6,4
53,5,3,2,6,7,1,5,4
3,5,3,3,2,6,4,7,3
1,6,6,5,2,2,5,7,2
2,7,7,1,5,4,3,1,2
8,5,3,5,3,7,5,7,2
15,7,7,5,5,5,6,4,2
19,6,7,4,2,7,4,6,2
29,6,5,2,2,4,5,7,2
31,4,3,2,6,3,5,7,2
32,6,6,3,5,7,5,7,2
45,6,7,2,6,7,5,7,2
51,6,4,3,5,6,6,4,2
57,5,6,1,4,2,5,7,2
58,5,3,2,4,2,4,6,2
4,4,5,3,3,3,7,6,1
6,3,2,6,1,1,5,6,1
12,7,7,4,3,6,6,5,1
14,6,6,4,5,6,6,7,1
17,1,3,2,2,1,1,2,1
23,7,6,6,7,4,6,7,1
28,5,5,3,5,4,6,5,1
30,7,7,2,6,7,7,6,1
35,6,6,1,7,5,4,3,1
36,5,3,2,5,1,4,3,1
37,3,2,3,3,2,3,2,1
39,6,7,1,6,7,7,6,1
40,4,4,3,4,7,7,6,1
44,5,4,2,4,2,5,6,1
47,4,6,3,5,7,6,7,1
56,6,6,3,6,7,6,7,1
59,6,6,2,5,2,4,5,1
70,6,4,4,2,5,7,6,1
71,5,4,3,6,6,6,7,1
74,4,4,4,4,6,7,6,1
77,5,4,5,7,2,6,7,1
78,6,6,3,5,1,5,6,1
5,5,4,3,6,6,7,7,0
9,3,4,4,2,7,7,7,0
11,2,2,3,2,7,7,7,0
16,5,6,4,3,1,2,2,0
18,5,3,2,7,7,7,7,0
20,3,5,4,5,5,7,7,0
22,5,6,2,6,7,7,7,0
24,7,7,2,7,7,7,7,0
25,2,2,4,4,5,7,7,0
26,6,4,2,3,6,7,7,0
27,6,4,3,6,7,7,7,0
33,5,5,3,6,4,7,7,0
34,7,7,1,4,1,2,2,0
38,7,7,3,5,7,7,7,0
43,6,6,1,7,7,7,7,0
46,5,5,4,2,3,7,7,0
48,6,6,2,5,5,7,7,0
50,7,7,1,7,7,7,7,0
52,6,5,3,5,7,7,7,0
60,4,4,3,7,6,7,7,0
61,6,5,4,4,7,7,7,0
62,5,5,3,6,4,7,7,0
66,4,7,1,7,5,7,7,0
67,5,7,3,6,5,7,7,0
69,7,3,4,5,5,7,7,0
72,3,5,3,6,3,7,7,0
73,4,3,2,5,6,7,7,0
75,6,6,1,7,7,7,7,0
76,5,4,4,5,6,7,7,0
79,5,7,4,4,1,7,7,0
80,5,2,4,6,5,7,7,0
