EventNumber,Detail,Vividness,Valence,Regret,Control,R1,R2,rating,Condition,sub
56,6,6,3,6,7,6,7,6.5,2,12
31,4,3,2,6,3,5,7,6,1,12
14,6,6,4,5,6,6,7,6.5,2,12
7,2,2,3,1,1,7,3,5,1,12
67,5,7,3,6,5,7,7,7,1,12
5,5,4,3,6,6,7,7,7,2,12
69,7,3,4,5,5,7,7,7,2,12
32,6,6,3,5,7,5,7,6,2,12
54,3,3,3,4,7,3,5,4,1,12
79,5,7,4,4,1,7,7,7,1,12
71,5,4,3,6,6,6,7,6.5,2,12
75,6,6,1,7,7,7,7,7,1,12
76,5,4,4,5,6,7,7,7,2,12
60,4,4,3,7,6,7,7,7,1,12
28,5,5,3,5,4,6,5,5.5,1,12
51,6,4,3,5,6,6,4,5,2,12
52,6,5,3,5,7,7,7,7,1,12
47,4,6,3,5,7,6,7,6.5,1,12
8,5,3,5,3,7,5,7,6,2,12
66,4,7,1,7,5,7,7,7,1,12
80,5,2,4,6,5,7,7,7,2,12
45,6,7,2,6,7,5,7,6,2,12
74,4,4,4,4,6,7,6,6.5,2,12
55,5,4,3,6,7,3,5,4,1,12
38,7,7,3,5,7,7,7,7,1,12
50,7,7,1,7,7,7,7,7,2,12
33,5,5,3,6,4,7,7,7,1,12
61,6,5,4,4,7,7,7,7,1,12
70,6,4,4,2,5,7,6,6.5,2,12
10,6,5,7,2,2,3,7,5,2,12
23,7,6,6,7,4,6,7,6.5,1,12
30,7,7,2,6,7,7,6,6.5,2,12
29,6,5,2,2,4,5,7,6,1,12
4,4,5,3,3,3,7,6,6.5,2,12
18,5,3,2,7,7,7,7,7,2,12
78,6,6,3,5,1,5,6,5.5,1,12
42,3,3,3,6,6,6,7,6.5,2,12
62,5,5,3,6,4,7,7,7,1,12
40,4,4,3,4,7,7,6,6.5,2,12
72,3,5,3,6,3,7,7,7,2,12
26,6,4,2,3,6,7,7,7,1,12
22,5,6,2,6,7,7,7,7,1,12
49,6,5,3,6,7,2,6,4,2,12
48,6,6,2,5,5,7,7,7,2,12
57,5,6,1,4,2,5,7,6,2,12
58,5,3,2,4,2,4,6,5,1,12
46,5,5,4,2,3,7,7,7,1,12
43,6,6,1,7,7,7,7,7,1,12
19,6,7,4,2,7,4,6,5,2,12
25,2,2,4,4,5,7,7,7,1,12
3,5,3,3,2,6,4,7,5.5,2,12
73,4,3,2,5,6,7,7,7,1,12
13,7,7,2,7,5,4,5,4.5,1,12
20,3,5,4,5,5,7,7,7,2,12
9,3,4,4,2,7,7,7,7,2,12
6,3,2,6,1,1,5,6,5.5,1,12
59,6,6,2,5,2,4,5,4.5,1,12
15,7,7,5,5,5,6,4,5,2,12
11,2,2,3,2,7,7,7,7,1,12
44,5,4,2,4,2,5,6,5.5,2,12
21,5,3,4,5,6,7,7,7,2,12
1,6,6,5,2,2,5,7,6,1,12
24,7,7,2,7,7,7,7,7,1,12
77,5,4,5,7,2,6,7,6.5,2,12
27,6,4,3,6,7,7,7,7,0,12
12,7,7,4,3,6,6,5,5.5,0,12
39,6,7,1,6,7,7,6,6.5,0,12
