Condition,Frequency,sub,EventNumber
Context,1,12,56
Self,3,12,31
Context,1,12,14
Self,2,12,7
Self,3,12,67
Context,5,12,5
Context,3,12,69
Context,2,12,32
Self,2,12,54
Self,1,12,79
Context,1,12,71
Self,4,12,75
Context,1,12,76
Self,1,12,60
Self,3,12,28
Context,1,12,51
Self,2,12,52
Self,4,12,47
Context,1,12,8
Self,2,12,66
Context,2,12,80
Context,7,12,45
Context,1,12,74
Self,2,12,55
Self,3,12,38
Context,3,12,50
Self,2,12,33
Self,2,12,61
Context,1,12,70
Context,1,12,10
Self,3,12,23
Context,2,12,30
Self,1,12,29
Context,1,12,4
Context,2,12,18
Self,2,12,78
Context,1,12,42
Self,1,12,62
Context,1,12,40
Context,1,12,72
Self,3,12,26
Self,4,12,22
Context,6,12,49
Context,1,12,48
Context,1,12,57
Self,2,12,58
Self,2,12,46
Self,3,12,43
Context,3,12,19
Self,1,12,25
Context,1,12,3
Self,1,12,73
Self,4,12,13
Context,2,12,20
Context,1,12,9
Self,1,12,6
Self,1,12,59
Context,3,12,15
Self,1,12,11
Context,1,12,44
Context,1,12,21
Self,7,12,1
Self,7,12,24
Context,1,12,77
,,,27
,,,12
,,,39
