EventNumber,Detail,Vividness,Valence,Regret,Control,R1,R2,rating,Condition,sub
18,2,2,3,3,4,7,6,6.5,2,31
79,1,1,4,4,2,7,6,6.5,1,31
38,2,1,3,2,3,7,6,6.5,2,31
20,1,2,3,2,3,7,5,6,1,31
76,1,3,3,4,7,7,7,7,1,31
27,1,2,3,2,5,7,7,7,2,31
5,1,4,2,6,3,7,6,6.5,2,31
67,2,3,4,3,7,7,6,6.5,2,31
49,3,3,2,6,7,6,5,5.5,1,31
21,2,2,2,1,4,6,7,6.5,1,31
36,3,1,3,2,5,6,7,6.5,2,31
28,2,4,2,2,1,7,7,7,1,31
4,4,5,2,5,7,7,6,6.5,2,31
64,1,2,3,4,7,7,7,7,1,31
42,3,4,2,2,1,7,5,6,1,31
35,2,1,3,3,5,7,5,6,2,31
62,3,4,3,4,3,7,7,7,1,31
13,1,2,3,4,7,7,6,6.5,1,31
10,4,4,1,6,2,7,5,6,2,31
15,6,5,2,5,2,7,7,7,1,31
25,2,3,2,4,5,6,7,6.5,2,31
66,3,2,4,2,5,6,7,6.5,2,31
46,3,2,3,5,7,6,7,6.5,2,31
75,1,4,2,6,4,6,5,5.5,1,31
57,2,3,3,4,4,7,7,7,1,31
2,3,5,2,4,5,7,7,7,2,31
50,3,2,3,4,7,7,7,7,1,31
1,4,3,2,2,3,7,6,6.5,1,31
40,3,1,3,1,1,6,7,6.5,2,31
78,3,4,3,2,7,7,5,6,2,31
52,2,2,3,3,5,7,6,6.5,1,31
33,4,5,2,1,7,7,6,6.5,2,31
77,3,2,3,4,6,7,6,6.5,1,31
45,2,4,3,4,2,7,6,6.5,2,31
43,2,4,2,4,2,7,7,7,2,31
55,2,3,2,4,3,7,5,6,1,31
74,3,5,2,4,7,7,6,6.5,2,31
68,1,2,3,1,4,7,7,7,1,31
7,3,4,3,4,4,7,6,6.5,2,31
24,1,2,4,1,7,7,7,7,2,31
63,2,5,2,3,4,7,7,7,1,31
51,3,2,2,4,7,7,7,7,1,31
9,2,3,3,3,7,6,5,5.5,2,31
80,4,6,2,5,5,7,7,7,2,31
73,4,2,3,3,2,7,6,6.5,2,31
17,2,2,3,1,4,7,5,6,1,31
69,2,4,2,2,1,7,6,6.5,1,31
3,4,4,1,5,6,7,7,7,1,31
65,2,2,3,3,5,7,5,6,2,31
23,4,5,1,5,2,7,6,6.5,1,31
53,2,4,1,5,4,7,5,6,2,31
26,1,2,3,3,2,7,7,7,1,31
22,3,3,2,2,3,6,5,5.5,1,31
12,4,6,1,4,1,7,6,6.5,2,31
11,6,6,1,5,5,7,6,6.5,2,31
54,3,2,2,3,5,6,6,6,1,31
34,3,2,2,4,5,5,6,5.5,1,31
70,4,3,3,3,1,7,5,6,2,31
37,2,2,3,3,5,7,7,7,1,31
32,6,6,1,5,1,7,5,6,2,31
72,1,1,4,2,4,7,7,7,2,31
8,5,6,1,2,3,7,5,6,1,31
59,2,5,2,5,7,7,7,7,1,31
47,1,2,3,3,6,6,7,6.5,2,31
39,1,2,3,2,1,7,7,7,0,31
56,2,3,2,1,2,7,5,6,0,31
31,2,5,2,4,7,7,6,6.5,0,31
