EventNumber,Detail,Vividness,Valence,Regret,Control,R1,R2,difference
19,3,5,3,3,1,2,1,5
41,5,3,3,3,1,3,2,5
6,2,3,2,2,1,4,3,4
30,5,4,1,6,2,4,2,4
58,2,4,3,2,5,4,3,4
14,1,2,2,2,3,4,3,3
45,2,4,3,4,2,7,6,3
69,2,4,2,2,1,7,6,3
71,1,2,4,2,7,6,5,3
79,1,1,4,4,2,7,6,3
1,4,3,2,2,3,7,6,2
5,1,4,2,6,3,7,6,2
8,5,6,1,2,3,7,5,2
10,4,4,1,6,2,7,5,2
17,2,2,3,1,4,7,5,2
20,1,2,3,2,3,7,5,2
32,6,6,1,5,1,7,5,2
35,2,1,3,3,5,7,5,2
42,3,4,2,2,1,7,5,2
53,2,4,1,5,4,7,5,2
55,2,3,2,4,3,7,5,2
56,2,3,2,1,2,7,5,2
60,1,2,3,2,5,4,6,2
61,2,4,3,3,5,3,5,2
65,2,2,3,3,5,7,5,2
70,4,3,3,3,1,7,5,2
78,3,4,3,2,7,7,5,2
4,4,5,2,5,7,7,6,1
7,3,4,3,4,4,7,6,1
9,2,3,3,3,7,6,5,1
11,6,6,1,5,5,7,6,1
12,4,6,1,4,1,7,6,1
13,1,2,3,4,7,7,6,1
16,3,2,3,1,4,6,5,1
18,2,2,3,3,4,7,6,1
21,2,2,2,1,4,6,7,1
22,3,3,2,2,3,6,5,1
23,4,5,1,5,2,7,6,1
25,2,3,2,4,5,6,7,1
29,1,4,3,5,6,6,5,1
31,2,5,2,4,7,7,6,1
33,4,5,2,1,7,7,6,1
34,3,2,2,4,5,5,6,1
36,3,1,3,2,5,6,7,1
38,2,1,3,2,3,7,6,1
40,3,1,3,1,1,6,7,1
44,2,3,3,4,4,6,5,1
46,3,2,3,5,7,6,7,1
47,1,2,3,3,6,6,7,1
48,2,1,4,2,5,5,6,1
49,3,3,2,6,7,6,5,1
52,2,2,3,3,5,7,6,1
66,3,2,4,2,5,6,7,1
67,2,3,4,3,7,7,6,1
73,4,2,3,3,2,7,6,1
74,3,5,2,4,7,7,6,1
75,1,4,2,6,4,6,5,1
77,3,2,3,4,6,7,6,1
2,3,5,2,4,5,7,7,0
3,4,4,1,5,6,7,7,0
15,6,5,2,5,2,7,7,0
24,1,2,4,1,7,7,7,0
26,1,2,3,3,2,7,7,0
27,1,2,3,2,5,7,7,0
28,2,4,2,2,1,7,7,0
37,2,2,3,3,5,7,7,0
39,1,2,3,2,1,7,7,0
43,2,4,2,4,2,7,7,0
50,3,2,3,4,7,7,7,0
51,3,2,2,4,7,7,7,0
54,3,2,2,3,5,6,6,0
57,2,3,3,4,4,7,7,0
59,2,5,2,5,7,7,7,0
62,3,4,3,4,3,7,7,0
63,2,5,2,3,4,7,7,0
64,1,2,3,4,7,7,7,0
68,1,2,3,1,4,7,7,0
72,1,1,4,2,4,7,7,0
76,1,3,3,4,7,7,7,0
80,4,6,2,5,5,7,7,0
