Condition,Frequency,sub,EventNumber
Context,1,31,18
Self,1,31,79
Context,2,31,38
Self,3,31,20
Self,2,31,76
Context,2,31,27
Context,3,31,5
Context,1,31,67
Self,2,31,49
Self,1,31,21
Context,1,31,36
Self,1,31,28
Context,2,31,4
Self,3,31,64
Self,1,31,42
Context,2,31,35
Self,4,31,62
Self,2,31,13
Context,1,31,10
Self,4,31,15
Context,1,31,25
Context,1,31,66
Context,2,31,46
Self,3,31,75
Self,2,31,57
Context,3,31,2
Self,3,31,50
Self,2,31,1
Context,2,31,40
Context,1,31,78
Self,2,31,52
Context,2,31,33
Self,3,31,77
Context,3,31,45
Context,4,31,43
Self,3,31,55
Context,3,31,74
Self,1,31,68
Context,2,31,7
Context,1,31,24
Self,1,31,63
Self,2,31,51
Context,3,31,9
Context,1,31,80
Context,2,31,73
Self,2,31,17
Self,1,31,69
Self,4,31,3
Context,2,31,65
Self,1,31,23
Context,2,31,53
Self,1,31,26
Self,2,31,22
Context,4,31,12
Context,3,31,11
Self,5,31,54
Self,3,31,34
Context,3,31,70
Self,3,31,37
Context,2,31,32
Context,2,31,72
Self,2,31,8
Self,4,31,59
Context,1,31,47
,,,39
,,,56
,,,31
