sub,run,trial,condition,fixOnsetTime,jitter1,jitter2,jitter3,jitterStim1,jitterStim2,jitterStim3,jitterResp,jitterAccuracy,memOnsetTime,eventNum,memRTtime,memRT,cftOnsetTime,endCFT,plausibilityOrder,plausibilityOnsetTime,plausibilityResponse,plausibilityRT,controlOrder,controlOnsetTime,controlResponse,controlRT,difficultyOrder,difficultyOnsetTime,difficultyResponse,difficultyRT,trialEnd
32,3,1,1,8.041839,0.75,4.5,1.5,task/Jitter/right2.jpg,task/Jitter/left1.jpg,task/Jitter/left1.jpg,[2 1 1],1,14.958132,35,16.627515,1.669383,20.974417,28.99049,2,34.040198,2,466522.6372,1,29.507156,2,466521.5534,3,38.573231,3,466522.0953,42.589605
32,3,2,2,42.606242,1.5,4.5,1.5,task/Jitter/right1.jpg,task/Jitter/left3.jpg,task/Jitter/left1.jpg,[2 1 1],1,50.322463,33,51.892466,1.570003,56.338731,64.354825,3,73.937558,2,466523.0749,1,64.871498,1,466521.6569,2,69.404535,4,466520.08,77.95394
32,3,3,2,77.97063,1.5,4.5,1.5,task/Jitter/right2.jpg,task/Jitter/right2.jpg,task/Jitter/right1.jpg,[2 2 2],1,85.636777,44,87.11351,1.476733,91.653053,99.669152,1,100.185823,4,466521.7227,2,104.718877,3,466522.3016,3,109.251908,3,466521.4315,113.268276
32,3,4,1,113.284908,0.75,3,0.75,task/Jitter/right3.jpg,task/Jitter/left3.jpg,NaN,[2 1],1,117.934657,20,119.249493,1.314836,123.950918,131.967017,2,137.016732,2,466521.8347,1,132.483682,1,466521.6458,3,141.549757,2,466520.8827,145.566145
32,3,5,2,145.582828,0.75,3,1.5,task/Jitter/left2.jpg,task/Jitter/right2.jpg,NaN,[1 2],1,150.965807,29,152.467394,1.501587,156.982049,164.998199,1,165.514849,3,466521.3015,3,174.580907,1,466520.3426,2,170.047878,3,466520.8763,178.597286
32,3,6,1,178.613973,1.5,3,1.5,task/Jitter/left2.jpg,task/Jitter/right2.jpg,NaN,[1 2],1,184.746892,63,186.853445,2.106552,190.76315,198.779278,1,199.295939,4,466520.7865,3,208.362016,4,466520.9451,2,203.82897,3,466522.7912,212.378393
32,3,7,2,212.39507,0.75,3,1.5,task/Jitter/right1.jpg,task/Jitter/right2.jpg,NaN,[2 2],1,217.778048,55,219.977392,2.199343,223.794325,231.810432,3,241.393154,4,466522.0012,1,232.327096,1,466521.319,2,236.860127,2,466521.7033,245.409542
32,3,8,2,245.426217,1.5,4.5,1.5,task/Jitter/right2.jpg,task/Jitter/left3.jpg,task/Jitter/left3.jpg,[2 1 1],1,253.092383,2,255.3434,2.251016,259.108646,267.124771,2,272.17445,4,466521.6789,1,267.641427,1,466522.4387,3,276.707479,1,466520.4616,280.723887
32,3,9,1,280.740555,0.75,4.5,0.75,task/Jitter/left1.jpg,task/Jitter/left2.jpg,task/Jitter/right1.jpg,[1 1 2],1,286.923483,67,288.245381,1.321898,292.939726,300.955851,3,310.538592,4,466520.2647,2,306.005555,4,466521.5825,1,301.472524,4,466520.2178,314.554958
32,3,10,1,314.57165,1.5,4.5,0.75,task/Jitter/right3.jpg,task/Jitter/right2.jpg,task/Jitter/right2.jpg,[2 2 2],1,321.487864,46,322.982368,1.494504,327.504128,335.520245,3,345.102972,3,466521.4442,1,336.036909,2,466521.1873,2,340.569923,2,466522.0163,349.119358
32,3,11,2,349.136033,1.5,4.5,1.5,task/Jitter/right2.jpg,task/Jitter/left1.jpg,task/Jitter/left2.jpg,[2 1 1],1,356.818867,9,359.387255,2.568387,362.835135,370.851241,1,371.367887,4,466520.3052,2,375.900934,1,466521.3243,3,380.433965,3,466520.9183,384.450348
32,3,12,2,384.466988,0.75,4.5,0.75,task/Jitter/right3.jpg,task/Jitter/left2.jpg,task/Jitter/left2.jpg,[2 1 1],1,390.633293,31,392.608184,1.97489,396.649562,404.665636,2,409.715368,4,466520.1068,3,414.248396,1,466519.8216,1,405.182318,4,466520.3567,418.264797
32,3,13,2,418.281402,0.75,4.5,1.5,task/Jitter/left2.jpg,task/Jitter/left1.jpg,task/Jitter/right3.jpg,[1 1 2],1,425.230994,18,427.077251,1.846258,431.247283,439.263379,3,448.846113,1,466520.7089,1,439.780035,1,466522.0492,2,444.313082,1,466520.9789,452.862494
32,3,14,1,452.879176,0.75,3,0.75,task/Jitter/left3.jpg,task/Jitter/right3.jpg,NaN,[1 2],1,457.512226,38,459.392244,1.880019,463.528468,471.544592,1,472.061243,,,3,481.127313,1,466520.9637,2,476.594274,1,466520.3719,485.143701
32,3,15,1,485.160332,0.75,3,0.75,task/Jitter/left3.jpg,task/Jitter/right3.jpg,NaN,[1 2],1,489.793399,53,491.268188,1.47479,495.809645,503.825783,1,504.342436,4,466520.2415,3,513.408504,3,466521.7477,2,508.875477,4,466520.7407,517.424868
32,3,16,1,517.441571,1.5,3,1.5,task/Jitter/left3.jpg,task/Jitter/right1.jpg,NaN,[1 2],1,523.574501,11,525.345113,1.770612,529.590731,537.606878,3,547.189614,4,466519.8373,2,542.656571,4,466519.8573,1,538.123546,4,466519.9514,551.205994
