,eventNum,Detail,Vividness,Valence,Regret,Control,R1,R2,rating,condition,subID,run,trial,fixOnsetTime,jitter1,jitter2,jitter3,jitterStim1,jitterStim2,jitterStim3,jitterResp,jitterAccuracy,memOnsetTime,memRTtime,memRT,cftOnsetTime,endCFT,plausibilityOrder,plausibilityOnsetTime,plausibilityResponse,plausibilityRT,controlOrder,controlOnsetTime,controlResponse,controlRT,difficultyOrder,difficultyOnsetTime,difficultyResponse,difficultyRT,trialEnd,Frequency
1039,28,2,2,4,1,2,5,6,5.5,Dispositional,27,1,15,482.238573,1.5,3,0.75,task/Jitter/left2.jpg,task/Jitter/right1.jpg,NaN,[1 2],1,487.621601,489.101466,1.479865,493.637862,501.653979,2,506.703665,3,1453690.301,3,511.236695,3,1453689.49,1,502.170634,4,1453689.788,515.25308,1
1040,23,3,6,4,4,2,6,4,5,Situational,27,1,16,515.269716,1.5,4.5,0.75,task/Jitter/right1.jpg,task/Jitter/left2.jpg,task/Jitter/right3.jpg,[2 1 2],1,522.202624,523.721416,1.518791,528.218898,536.235004,3,545.817741,4,1453689.121,2,541.284692,1,1453689.952,1,536.751664,4,1453689.984,549.834126,1
1041,51,2,2,4,4,4,7,7,7,Dispositional,27,2,1,8.047412,0.75,3,1.5,task/Jitter/left3.jpg,task/Jitter/left3.jpg,NaN,[1 1],1,13.413767,14.466274,1.052507,19.430021,27.446148,1,27.962807,4,1454302.506,2,32.495826,4,1454301.896,3,37.028854,3,1454302.636,41.045236,2
1042,35,2,2,6,1,4,6,7,6.5,Dispositional,27,2,2,41.061923,0.75,4.5,1.5,task/Jitter/left1.jpg,task/Jitter/left1.jpg,task/Jitter/left3.jpg,[1 1 1],1,47.978134,49.659191,1.681057,53.994383,62.010507,3,71.59325,3,1454302.03,1,62.527173,4,1454301.599,2,67.060217,3,1454302.103,75.609627,2
1043,8,2,4,4,4,1,6,5,5.5,Situational,27,2,3,75.626305,0.75,3,0.75,task/Jitter/left3.jpg,task/Jitter/right2.jpg,NaN,[1 2],1,80.259339,81.551164,1.291826,86.275584,94.291752,1,94.808362,2,1454301.878,3,103.874442,2,1454301.59,2,99.341402,2,1454302.154,107.890809,2
1044,77,4,5,1,7,1,7,7,7,Dispositional,27,2,4,107.907469,1.5,3,1.5,task/Jitter/left3.jpg,task/Jitter/left1.jpg,NaN,[1 1],1,114.040417,115.489196,1.448779,120.056702,128.072818,3,137.655518,4,1454301.911,1,128.589469,4,1454301.963,2,133.122494,3,1454302.285,141.671928,4
1045,40,2,2,4,1,5,6,7,6.5,Situational,27,2,5,141.68854,1.5,4.5,0.75,task/Jitter/right1.jpg,task/Jitter/left3.jpg,task/Jitter/left1.jpg,[2 1 1],1,148.621472,150.048105,1.426633,154.637736,162.653843,2,167.703526,1,1454301.557,3,172.23656,1,1454301.407,1,163.170496,2,1454302.087,176.252951,1
1046,13,3,3,2,3,5,5,6,5.5,Situational,27,2,6,176.269625,1.5,4.5,0.75,task/Jitter/left2.jpg,task/Jitter/left1.jpg,task/Jitter/right1.jpg,[1 1 2],1,183.202515,184.766134,1.56362,189.218782,197.234868,1,197.751548,1,1454302.093,3,206.817603,1,1454301.362,2,202.284579,1,1454301.565,210.834,2
1047,31,2,2,4,4,5,7,5,6,Situational,27,2,7,210.850632,1.5,3,1.5,task/Jitter/left1.jpg,task/Jitter/right1.jpg,NaN,[1 2],1,216.98361,219.39009,2.40648,222.99989,231.015994,3,240.598695,4,1454301.463,2,236.065666,3,1454302.215,1,231.532632,4,1454302.05,244.615079,1
1048,24,6,6,2,6,1,3,5,4,Dispositional,27,2,8,244.63177,1.5,4.5,1.5,task/Jitter/right2.jpg,task/Jitter/right3.jpg,task/Jitter/left1.jpg,[2 2 1],1,252.314593,254.053957,1.739364,258.33084,266.34696,3,275.929707,4,1454301.877,2,271.396661,4,1454301.617,1,266.863624,3,1454302.073,279.946085,5
