EventNumber,Detail,Vividness,Valence,Regret,Control,R1,R2,difference
10,3,3,3,1,1,4,3,4
53,7,7,1,5,3,6,6,4
15,3,3,1,1,3,4,4,3
21,7,7,2,3,2,4,3,3
25,6,5,4,1,1,3,3,3
26,6,5,4,1,1,3,3,3
35,7,7,3,1,1,3,3,3
37,3,1,4,3,3,4,4,3
44,7,7,1,7,1,4,3,3
46,7,7,6,1,2,4,3,3
51,7,7,2,4,1,4,3,3
52,7,7,1,3,1,1,2,3
58,7,7,1,1,1,4,3,3
79,7,7,3,1,3,4,3,3
80,7,7,2,3,4,5,4,3
1,7,7,5,1,2,7,5,2
3,6,6,3,1,5,6,4,2
9,4,6,1,1,1,3,5,2
11,5,5,5,3,4,6,4,2
12,5,4,1,3,1,5,3,2
20,7,7,1,7,1,5,3,2
22,4,3,4,6,7,5,7,2
23,7,7,7,3,4,7,5,2
27,7,7,7,1,3,7,5,2
30,7,5,5,1,1,5,3,2
31,4,3,1,1,3,6,4,2
34,4,3,1,4,6,5,7,2
39,7,3,4,1,4,2,4,2
42,7,7,1,4,1,6,4,2
47,4,5,4,1,1,5,3,2
49,7,7,4,3,4,5,3,2
59,7,7,1,5,1,5,3,2
66,7,7,4,1,1,5,3,2
69,7,7,1,5,1,6,4,2
70,7,7,1,1,1,5,3,2
71,7,7,1,7,1,6,4,2
78,7,7,1,1,4,4,6,2
2,5,5,4,1,5,6,5,1
4,6,6,3,1,5,7,6,1
5,5,4,5,1,4,6,5,1
6,5,4,2,4,3,5,4,1
8,6,7,3,4,3,5,4,1
16,6,5,5,1,3,5,4,1
18,5,5,1,1,1,5,4,1
24,4,6,3,3,3,5,4,1
28,4,4,1,5,3,4,3,1
29,5,7,5,1,5,5,6,1
32,7,7,1,1,1,4,3,1
36,7,7,1,5,1,3,2,1
40,7,7,2,4,3,5,4,1
48,7,7,1,3,1,3,2,1
50,7,7,5,1,4,4,3,1
54,7,7,1,5,5,7,6,1
57,7,7,1,6,4,2,3,1
60,7,7,3,4,1,5,4,1
64,7,7,6,1,1,5,4,1
65,7,7,1,1,1,5,4,1
67,7,7,4,4,3,6,5,1
72,7,7,4,3,4,6,5,1
73,7,7,1,4,3,4,5,1
75,7,7,1,1,7,5,4,1
76,7,7,5,1,1,1,2,1
7,7,7,3,1,1,3,3,0
13,7,7,4,1,5,7,7,0
14,5,3,4,1,2,7,7,0
17,4,5,5,5,7,7,7,0
19,7,7,3,5,3,6,6,0
33,3,3,3,1,1,5,5,0
38,7,7,3,5,3,7,7,0
41,7,7,2,4,2,4,4,0
43,7,7,1,7,2,3,3,0
45,7,7,6,1,1,4,4,0
55,5,5,2,4,4,5,5,0
56,7,7,1,5,3,4,4,0
61,7,7,3,5,5,7,7,0
62,7,7,5,3,4,5,5,0
63,7,7,5,3,5,6,6,0
68,7,7,3,1,4,5,5,0
74,7,7,5,4,4,7,7,0
77,5,5,3,7,5,7,7,0
