EventNumber,Detail,Vividness,Valence,Regret,Control,R1,R2,rating,Condition,sub
75,7,7,1,1,7,5,4,4.5,2,33
15,3,3,1,1,3,4,4,4,1,33
6,5,4,2,4,3,5,4,4.5,2,33
30,7,5,5,1,1,5,3,4,1,33
67,7,7,4,4,3,6,5,5.5,1,33
34,4,3,1,4,6,5,7,6,2,33
78,7,7,1,1,4,4,6,5,2,33
12,5,4,1,3,1,5,3,4,2,33
51,7,7,2,4,1,4,3,3.5,1,33
3,6,6,3,1,5,6,4,5,1,33
80,7,7,2,3,4,5,4,4.5,2,33
13,7,7,4,1,5,7,7,7,1,33
55,5,5,2,4,4,5,5,5,2,33
27,7,7,7,1,3,7,5,6,1,33
41,7,7,2,4,2,4,4,4,1,33
45,7,7,6,1,1,4,4,4,2,33
23,7,7,7,3,4,7,5,6,1,33
73,7,7,1,4,3,4,5,4.5,1,33
59,7,7,1,5,1,5,3,4,2,33
77,5,5,3,7,5,7,7,7,1,33
33,3,3,3,1,1,5,5,5,2,33
9,4,6,1,1,1,3,5,4,2,33
8,6,7,3,4,3,5,4,4.5,2,33
10,3,3,3,1,1,4,3,3.5,1,33
63,7,7,5,3,5,6,6,6,1,33
61,7,7,3,5,5,7,7,7,2,33
1,7,7,5,1,2,7,5,6,1,33
71,7,7,1,7,1,6,4,5,1,33
40,7,7,2,4,3,5,4,4.5,2,33
28,4,4,1,5,3,4,3,3.5,2,33
60,7,7,3,4,1,5,4,4.5,1,33
11,5,5,5,3,4,6,4,5,2,33
64,7,7,6,1,1,5,4,4.5,1,33
18,5,5,1,1,1,5,4,4.5,2,33
14,5,3,4,1,2,7,7,7,2,33
37,3,1,4,3,3,4,4,4,1,33
62,7,7,5,3,4,5,5,5,2,33
2,5,5,4,1,5,6,5,5.5,1,33
65,7,7,1,1,1,5,4,4.5,2,33
72,7,7,4,3,4,6,5,5.5,2,33
54,7,7,1,5,5,7,6,6.5,1,33
17,4,5,5,5,7,7,7,7,1,33
79,7,7,3,1,3,4,3,3.5,2,33
4,6,6,3,1,5,7,6,6.5,2,33
16,6,5,5,1,3,5,4,4.5,2,33
66,7,7,4,1,1,5,3,4,1,33
69,7,7,1,5,1,6,4,5,1,33
38,7,7,3,5,3,7,7,7,1,33
44,7,7,1,7,1,4,3,3.5,2,33
42,7,7,1,4,1,6,4,5,1,33
56,7,7,1,5,3,4,4,4,2,33
53,7,7,1,5,3,6,6,6,1,33
32,7,7,1,1,1,4,3,3.5,1,33
31,4,3,1,1,3,6,4,5,2,33
29,5,7,5,1,5,5,6,5.5,2,33
49,7,7,4,3,4,5,3,4,1,33
21,7,7,2,3,2,4,3,3.5,1,33
58,7,7,1,1,1,4,3,3.5,2,33
19,7,7,3,5,3,6,6,6,1,33
70,7,7,1,1,1,5,3,4,2,33
5,5,4,5,1,4,6,5,5.5,2,33
20,7,7,1,7,1,5,3,4,1,33
74,7,7,5,4,4,7,7,7,1,33
24,4,6,3,3,3,5,4,4.5,2,33
22,4,3,4,6,7,5,7,6,0,33
47,4,5,4,1,1,5,3,4,0,33
68,7,7,3,1,4,5,5,5,0,33
