Condition,Frequency,sub,EventNumber
Context,1,4,29
Self,3,4,61
Context,2,4,78
Self,2,4,55
Self,3,4,63
Context,4,4,74
Context,3,4,65
Context,3,4,48
Self,4,4,68
Self,2,4,49
Context,2,4,60
Self,4,4,28
Context,2,4,54
Self,3,4,26
Self,1,4,56
Context,1,4,32
Self,3,4,22
Self,3,4,13
Context,2,4,67
Self,2,4,25
Context,2,4,18
Context,4,4,37
Context,1,4,66
Self,2,4,64
Self,3,4,8
Context,5,4,20
Self,3,4,52
Self,4,4,58
Context,1,4,33
Context,4,4,76
Self,2,4,59
Context,5,4,11
Self,5,4,80
Context,4,4,43
Context,1,4,31
Self,5,4,16
Context,6,4,39
Self,6,4,62
Context,1,4,12
Context,6,4,72
Self,7,4,1
Self,2,4,41
Context,5,4,50
Context,1,4,34
Context,3,4,36
Self,4,4,42
Self,6,4,79
Self,2,4,35
Context,7,4,7
Self,5,4,40
Context,4,4,4
Self,2,4,73
Self,2,4,70
Context,3,4,30
Context,7,4,23
Self,4,4,5
Self,7,4,6
Context,5,4,2
Self,2,4,77
Context,4,4,75
Context,4,4,17
Self,3,4,27
Self,3,4,69
Context,2,4,57
,,,47
,,,38
,,,19
