EventNumber,Detail,Vividness,Valence,Regret,Control,R1,R2,rating,Condition,sub
29,3,4,3,1,1,5,7,6,2,4
61,4,4,2,2,1,5,6,5.5,1,4
78,3,3,3,5,4,7,5,6,2,4
55,3,3,4,2,1,4,6,5,1,4
63,3,3,2,2,1,6,7,6.5,1,4
74,3,2,4,5,7,7,7,7,2,4
65,2,3,4,3,6,7,6,6.5,2,4
48,4,3,3,6,1,7,4,5.5,2,4
68,1,1,3,1,1,4,3,3.5,1,4
49,5,3,6,2,5,6,7,6.5,1,4
60,3,2,3,5,7,7,5,6,2,4
28,4,3,3,6,2,7,7,7,1,4
54,3,3,5,2,6,7,6,6.5,2,4
26,6,6,2,1,3,7,6,6.5,1,4
56,4,3,5,1,1,6,5,5.5,1,4
32,6,4,4,1,1,5,5,5,2,4
22,3,4,1,1,1,7,6,6.5,1,4
13,3,5,3,5,1,5,7,6,1,4
67,2,1,3,5,1,6,5,5.5,2,4
25,4,3,3,1,2,7,7,7,1,4
18,6,5,1,3,2,5,7,6,2,4
37,2,1,3,1,1,5,6,5.5,2,4
66,2,2,4,4,6,7,5,6,2,4
64,3,2,4,2,1,3,4,3.5,1,4
8,3,1,1,7,6,6,7,6.5,1,4
20,6,7,3,6,6,7,7,7,2,4
52,3,4,5,1,1,7,7,7,1,4
58,1,1,4,5,4,7,6,6.5,1,4
33,5,6,3,5,6,6,6,6,2,4
76,6,5,3,6,3,5,4,4.5,2,4
59,3,3,4,1,1,6,6,6,1,4
11,4,5,2,2,4,5,7,6,2,4
80,3,3,2,5,6,7,4,5.5,1,4
43,4,4,2,6,7,6,6,6,2,4
31,6,6,3,1,1,7,7,7,2,4
16,5,5,1,6,5,5,5,5,1,4
39,5,4,2,5,7,7,5,6,2,4
62,5,4,2,2,1,7,6,6.5,1,4
12,5,7,3,1,1,5,7,6,2,4
72,3,4,2,5,4,7,6,6.5,2,4
1,5,7,4,7,7,7,7,7,1,4
41,3,2,3,1,6,7,7,7,1,4
50,2,1,5,1,1,3,4,3.5,2,4
34,4,5,4,5,6,7,7,7,2,4
36,3,2,1,1,1,5,6,5.5,2,4
42,6,4,3,2,6,5,5,5,1,4
79,4,3,3,2,6,6,7,6.5,1,4
35,5,6,3,2,1,7,7,7,1,4
7,7,7,2,1,1,3,6,4.5,2,4
40,5,4,3,5,3,6,7,6.5,1,4
4,4,4,5,3,1,5,6,5.5,2,4
73,2,1,4,6,6,7,7,7,1,4
70,6,6,2,1,1,2,6,4,1,4
30,3,2,3,2,4,7,6,6.5,2,4
23,3,4,3,6,7,7,6,6.5,2,4
5,3,4,3,1,1,5,5,5,1,4
6,4,5,2,1,1,3,5,4,1,4
2,4,3,2,1,6,5,4,4.5,2,4
77,5,4,4,5,6,7,7,7,1,4
75,5,6,4,1,1,7,4,5.5,2,4
17,5,4,3,6,6,6,7,6.5,2,4
27,6,5,3,3,3,5,6,5.5,1,4
69,2,2,3,6,5,7,7,7,1,4
57,3,2,4,1,1,6,6,6,2,4
47,3,3,5,6,1,7,7,7,0,4
38,6,6,2,1,1,4,6,5,0,4
19,4,2,1,5,6,6,6,6,0,4
