EventNumber,Detail,Vividness,Valence,Regret,Control,R1,R2,difference
17,4,6,4,4,1,4,4,3
63,2,3,4,1,1,4,4,3
79,2,5,3,4,1,4,3,3
1,7,7,2,7,1,6,5,2
3,7,3,2,7,1,3,3,2
6,5,7,2,7,1,5,5,2
7,5,5,2,7,1,7,5,2
19,2,2,4,4,1,5,3,2
23,3,6,4,4,2,6,4,2
24,6,6,2,6,1,3,5,2
31,2,2,4,4,5,7,5,2
38,2,5,4,6,1,5,7,2
44,2,2,3,1,1,5,3,2
46,2,4,4,1,1,5,7,2
49,3,3,4,1,1,6,4,2
58,3,3,4,1,1,7,5,2
64,1,2,4,1,1,5,3,2
69,2,2,3,4,1,7,5,2
72,2,2,2,4,1,5,7,2
75,2,2,4,1,1,5,3,2
2,7,3,4,4,2,7,6,1
5,5,7,2,7,5,7,6,1
8,2,4,4,4,1,6,5,1
9,3,4,4,4,3,6,5,1
11,3,5,2,7,1,4,3,1
13,3,3,2,3,5,5,6,1
14,3,5,2,7,1,5,4,1
16,4,4,2,7,1,6,5,1
20,2,2,4,5,7,6,7,1
22,2,5,2,4,1,4,3,1
26,3,3,4,4,3,6,7,1
27,2,2,4,4,4,6,5,1
28,2,2,4,1,2,5,6,1
29,2,2,4,1,1,4,3,1
34,3,4,3,6,1,5,6,1
35,2,2,6,1,4,6,7,1
37,2,6,4,1,1,6,7,1
39,2,4,3,6,1,6,7,1
40,2,2,4,1,5,6,7,1
43,2,4,4,1,1,5,4,1
45,2,2,4,4,2,6,5,1
47,4,3,4,6,1,6,7,1
50,5,5,4,4,1,4,3,1
55,4,4,4,1,1,6,5,1
57,2,2,3,4,1,5,4,1
59,4,4,4,5,5,6,7,1
60,2,2,4,1,1,6,5,1
62,3,4,4,5,1,6,7,1
67,3,2,4,1,1,6,5,1
68,5,5,1,5,1,5,4,1
71,3,2,4,3,2,6,7,1
73,4,3,2,5,3,6,7,1
74,5,4,1,6,1,7,6,1
76,4,4,4,6,1,7,6,1
4,5,7,2,7,5,7,7,0
10,7,5,6,5,7,7,7,0
12,1,2,2,4,1,4,4,0
15,2,2,4,4,7,7,7,0
18,4,1,4,7,6,7,7,0
21,2,2,4,5,7,7,7,0
25,2,2,4,5,1,7,7,0
30,2,2,4,1,5,7,7,0
32,2,5,1,7,5,7,7,0
33,2,2,3,7,6,7,7,0
36,2,2,4,5,5,7,7,0
41,3,2,4,4,1,6,6,0
42,4,3,4,1,1,5,5,0
48,6,5,2,7,5,7,7,0
51,2,2,4,4,4,7,7,0
52,3,3,3,3,3,7,7,0
53,2,2,4,4,1,7,7,0
54,5,5,1,7,1,6,6,0
56,2,2,4,4,1,7,7,0
61,2,3,4,1,2,7,7,0
65,2,5,3,1,1,4,4,0
66,4,4,1,5,3,7,7,0
70,3,3,4,3,3,7,7,0
77,4,5,1,7,1,7,7,0
78,3,2,2,6,4,7,7,0
80,4,2,2,6,4,7,7,0
