Condition,Frequency,sub,EventNumber
Context,2,27,54
Self,5,27,1
Context,5,27,72
Self,5,27,6
Self,2,27,61
Context,2,27,18
Context,3,27,20
Context,3,27,16
Self,4,27,43
Self,6,27,37
Context,4,27,7
Self,4,27,4
Context,1,27,26
Self,2,27,53
Self,1,27,28
Context,1,27,23
Self,2,27,51
Self,2,27,35
Context,2,27,8
Self,4,27,77
Context,1,27,40
Context,2,27,13
Context,1,27,31
Self,5,27,24
Self,3,27,36
Context,4,27,66
Self,2,27,30
Self,2,27,2
Context,3,27,69
Context,3,27,68
Self,2,27,46
Context,1,27,59
Self,5,27,41
Context,2,27,71
Context,4,27,48
Self,1,27,45
Context,1,27,62
Self,2,27,56
Context,4,27,76
Context,2,27,70
Self,4,27,33
Self,3,27,78
Context,3,27,12
Context,1,27,52
Context,1,27,58
Self,1,27,67
Self,1,27,39
Self,4,27,32
Context,5,27,49
Self,3,27,73
Context,1,27,27
Self,3,27,15
Self,3,27,14
Context,3,27,5
Context,5,27,74
Self,1,27,60
Self,1,27,57
Context,4,27,42
Self,1,27,21
Context,2,27,9
Context,1,27,10
Self,3,27,34
Self,5,27,80
Context,1,27,38
,,,25
,,,55
,,,47
