EventNumber,Detail,Vividness,Valence,Regret,Control,R1,R2,difference
64,4,5,2,1,1,3,3,4
7,3,7,1,1,1,3,3,3
12,3,4,1,6,1,4,4,3
13,3,4,1,6,2,4,4,3
22,1,1,1,7,7,6,7,3
24,2,1,1,3,1,5,4,3
32,3,3,1,6,3,2,5,3
51,3,3,1,7,4,4,1,3
59,3,4,1,1,2,4,7,3
4,4,6,1,4,2,4,6,2
10,4,3,2,1,1,4,6,2
15,4,5,1,6,3,6,4,2
17,5,3,1,7,6,7,5,2
28,2,6,1,2,1,5,3,2
29,2,6,1,1,1,3,5,2
42,7,7,1,7,7,5,7,2
44,3,3,5,1,2,4,6,2
48,5,5,1,6,6,5,7,2
55,2,7,1,1,1,3,1,2
56,3,4,3,1,1,4,6,2
58,2,4,1,5,3,5,7,2
62,4,4,3,3,1,5,7,2
76,3,4,1,3,3,5,7,2
1,5,7,1,1,5,6,5,1
2,2,5,3,5,6,6,5,1
3,7,6,2,7,2,5,4,1
6,2,6,1,1,5,5,4,1
8,2,3,1,7,6,6,7,1
16,3,4,2,6,4,7,6,1
20,3,4,2,5,4,6,7,1
23,3,2,2,5,2,6,5,1
27,6,4,1,4,4,7,6,1
30,3,1,4,3,7,6,7,1
36,4,3,2,2,4,4,5,1
37,3,5,1,5,6,5,6,1
38,5,5,2,2,2,5,6,1
39,4,7,1,3,1,6,7,1
41,4,5,2,5,1,4,5,1
43,6,5,4,3,5,3,4,1
45,5,4,2,1,1,2,1,1
46,4,5,2,2,1,2,1,1
50,2,6,1,1,2,5,6,1
52,5,7,1,5,4,5,6,1
57,2,7,1,4,2,5,6,1
60,5,5,3,5,5,6,7,1
70,6,6,1,6,7,6,7,1
72,2,5,3,6,7,6,5,1
75,6,6,1,2,1,4,5,1
79,4,4,2,1,2,4,5,1
80,4,5,1,5,4,7,6,1
5,3,5,1,3,3,4,4,0
9,3,6,1,7,7,7,7,0
11,5,6,2,4,1,6,6,0
14,6,6,2,7,5,5,5,0
18,4,2,1,7,7,7,7,0
19,7,6,3,7,7,7,7,0
21,3,3,1,5,3,5,5,0
25,5,4,2,6,4,5,5,0
26,3,2,2,5,4,5,5,0
31,7,7,1,6,6,7,7,0
33,7,7,4,6,7,7,7,0
34,3,6,2,6,6,6,6,0
35,4,7,1,1,1,1,1,0
40,3,6,1,2,2,6,6,0
47,6,6,1,1,2,7,7,0
49,2,5,1,1,1,4,4,0
53,5,6,4,6,5,7,7,0
54,4,7,3,2,2,6,6,0
61,2,6,1,1,1,5,5,0
63,5,5,2,7,7,6,6,0
65,2,5,1,3,3,5,5,0
66,5,5,1,1,1,5,5,0
67,4,4,1,7,6,7,7,0
68,5,6,1,6,6,7,7,0
69,3,5,2,6,6,7,7,0
71,5,5,1,5,5,6,6,0
73,4,5,4,4,3,6,6,0
74,5,5,3,6,4,7,7,0
77,5,5,1,5,5,6,6,0
78,2,6,1,6,5,7,7,0
