Condition,Frequency,sub,EventNumber
Context,6,34,59
Self,3,34,72
Context,5,34,37
Self,2,34,44
Self,6,34,16
Context,5,34,33
Context,3,34,76
Context,6,34,15
Self,4,34,79
Self,2,34,71
Context,7,34,1
Self,1,34,47
Context,7,34,40
Self,6,34,70
Self,7,34,10
Context,4,34,24
Self,2,34,39
Self,6,34,73
Context,5,34,61
Self,7,34,31
Context,5,34,77
Context,6,34,4
Context,6,34,52
Self,1,34,12
Self,6,34,27
Context,3,34,18
Self,5,34,8
Self,2,34,58
Context,2,34,50
Context,7,34,3
Self,6,34,23
Context,2,34,34
Self,7,34,2
Context,5,34,62
Context,3,34,67
Self,1,34,14
Context,4,34,63
Self,3,34,80
Context,2,34,54
Context,2,34,20
Self,2,34,69
Self,5,34,68
Context,3,34,13
Context,3,34,19
Context,5,34,38
Self,2,34,56
Self,4,34,48
Self,7,34,9
Context,7,34,6
Self,6,34,42
Context,5,34,66
Self,5,34,74
Self,3,34,36
Context,2,34,17
Context,2,34,30
Self,1,34,26
Self,5,34,41
Context,4,34,75
Self,2,34,53
Context,2,34,65
Context,1,34,60
Self,2,34,21
Self,3,34,78
Context,4,34,57
,,,22
,,,25
,,,11
