EventNumber,Detail,Vividness,Valence,Regret,Control,R1,R2,rating,Condition,sub
59,3,4,1,1,2,4,7,5.5,2,34
72,2,5,3,6,7,6,5,5.5,1,34
37,3,5,1,5,6,5,6,5.5,2,34
44,3,3,5,1,2,4,6,5,1,34
16,3,4,2,6,4,7,6,6.5,1,34
33,7,7,4,6,7,7,7,7,2,34
76,3,4,1,3,3,5,7,6,2,34
15,4,5,1,6,3,6,4,5,2,34
79,4,4,2,1,2,4,5,4.5,1,34
71,5,5,1,5,5,6,6,6,1,34
1,5,7,1,1,5,6,5,5.5,2,34
47,6,6,1,1,2,7,7,7,1,34
40,3,6,1,2,2,6,6,6,2,34
70,6,6,1,6,7,6,7,6.5,1,34
10,4,3,2,1,1,4,6,5,1,34
24,2,1,1,3,1,5,4,4.5,2,34
39,4,7,1,3,1,6,7,6.5,1,34
73,4,5,4,4,3,6,6,6,1,34
61,2,6,1,1,1,5,5,5,2,34
31,7,7,1,6,6,7,7,7,1,34
77,5,5,1,5,5,6,6,6,2,34
4,4,6,1,4,2,4,6,5,2,34
52,5,7,1,5,4,5,6,5.5,2,34
12,3,4,1,6,1,4,4,4,1,34
27,6,4,1,4,4,7,6,6.5,1,34
18,4,2,1,7,7,7,7,7,2,34
8,2,3,1,7,6,6,7,6.5,1,34
58,2,4,1,5,3,5,7,6,1,34
50,2,6,1,1,2,5,6,5.5,2,34
3,7,6,2,7,2,5,4,4.5,2,34
23,3,2,2,5,2,6,5,5.5,1,34
34,3,6,2,6,6,6,6,6,2,34
2,2,5,3,5,6,6,5,5.5,1,34
62,4,4,3,3,1,5,7,6,2,34
67,4,4,1,7,6,7,7,7,2,34
14,6,6,2,7,5,5,5,5,1,34
63,5,5,2,7,7,6,6,6,2,34
80,4,5,1,5,4,7,6,6.5,1,34
54,4,7,3,2,2,6,6,6,2,34
20,3,4,2,5,4,6,7,6.5,2,34
69,3,5,2,6,6,7,7,7,1,34
68,5,6,1,6,6,7,7,7,1,34
13,3,4,1,6,2,4,4,4,2,34
19,7,6,3,7,7,7,7,7,2,34
38,5,5,2,2,2,5,6,5.5,2,34
56,3,4,3,1,1,4,6,5,1,34
48,5,5,1,6,6,5,7,6,1,34
9,3,6,1,7,7,7,7,7,1,34
6,2,6,1,1,5,5,4,4.5,2,34
42,7,7,1,7,7,5,7,6,1,34
66,5,5,1,1,1,5,5,5,2,34
74,5,5,3,6,4,7,7,7,1,34
36,4,3,2,2,4,4,5,4.5,1,34
17,5,3,1,7,6,7,5,6,2,34
30,3,1,4,3,7,6,7,6.5,2,34
26,3,2,2,5,4,5,5,5,1,34
41,4,5,2,5,1,4,5,4.5,1,34
75,6,6,1,2,1,4,5,4.5,2,34
53,5,6,4,6,5,7,7,7,1,34
65,2,5,1,3,3,5,5,5,2,34
60,5,5,3,5,5,6,7,6.5,2,34
21,3,3,1,5,3,5,5,5,1,34
78,2,6,1,6,5,7,7,7,1,34
57,2,7,1,4,2,5,6,5.5,2,34
22,1,1,1,7,7,6,7,6.5,0,34
25,5,4,2,6,4,5,5,5,0,34
11,5,6,2,4,1,6,6,6,0,34
