sub,run,trial,condition,fixOnsetTime,jitter1,jitter2,jitter3,jitterStim1,jitterStim2,jitterStim3,jitterResp,jitterAccuracy,memOnsetTime,eventNum,memRTtime,memRT,cftOnsetTime,endCFT,plausibilityOrder,plausibilityOnsetTime,plausibilityResponse,plausibilityRT,controlOrder,controlOnsetTime,controlResponse,controlRT,difficultyOrder,difficultyOnsetTime,difficultyResponse,difficultyRT,trialEnd
4,4,1,2,8.042468,1.5,4.5,0.75,task/Jitter/left3.jpg,task/Jitter/right2.jpg,task/Jitter/right2.jpg,[1 2 2],1,14.975356,7,16.495146,1.51979,20.991596,29.007721,3,38.590462,1,371485.6805,1,29.524392,1,371484.9703,2,34.057434,1,371485.6334,42.606852
4,4,2,1,42.623549,0.75,4.5,0.75,task/Jitter/right3.jpg,task/Jitter/right2.jpg,task/Jitter/left2.jpg,[2 2 1],1,48.806464,40,51.219146,2.412682,54.82274,62.83886,2,67.888546,3,371486.0573,3,72.421603,3,371485.139,1,63.35551,2,371486.6444,76.437965
4,4,3,2,76.454652,1.5,4.5,1.5,task/Jitter/right3.jpg,task/Jitter/right3.jpg,task/Jitter/left1.jpg,[2 2 1],1,84.12082,4,86.211067,2.090248,90.137088,98.153203,1,98.669872,3,371485.9631,3,107.735926,2,371486.0637,2,103.202897,3,371486.67,111.752341
4,4,4,1,111.76901,0.75,3,1.5,task/Jitter/right2.jpg,task/Jitter/right3.jpg,NaN,[2 2],1,117.151982,73,119.172092,2.02011,123.168196,131.184404,3,140.767096,4,371485.5498,1,131.701025,4,371485.2956,2,136.234071,4,371485.4677,144.783516
4,4,5,1,144.800169,0.75,4.5,0.75,task/Jitter/left3.jpg,task/Jitter/right3.jpg,task/Jitter/left2.jpg,[1 2 1],1,150.983094,70,,,156.999348,165.015478,1,165.532139,4,371486.0855,2,170.065193,1,371486.2627,3,174.598211,2,371486.3594,178.614609
4,4,6,2,178.631279,0.75,3,1.5,task/Jitter/right2.jpg,task/Jitter/right1.jpg,NaN,[2 2],1,184.014272,30,186.235014,2.220742,190.030505,198.046671,1,198.563322,4,371485.8405,2,203.096364,1,371484.8734,3,207.629378,4,371485.5005,211.645781
4,4,7,2,211.662462,0.75,3,0.75,task/Jitter/left1.jpg,task/Jitter/left2.jpg,NaN,[1 1],1,216.295475,23,218.165051,1.869576,222.311768,230.32788,2,235.377576,1,371485.6151,3,239.910597,1,371484.8742,1,230.844526,3,371485.6453,243.926994
4,4,8,1,243.943676,1.5,4.5,1.5,task/Jitter/left1.jpg,task/Jitter/right1.jpg,task/Jitter/left1.jpg,[1 2 1],1,251.626522,5,256.4691,4.842578,257.642712,265.658888,2,270.708577,3,371485.5122,3,275.241619,4,371485.414,1,266.17554,4,371485.4513,279.258011
4,4,9,1,279.274693,1.5,4.5,1.5,task/Jitter/left3.jpg,task/Jitter/right3.jpg,task/Jitter/left1.jpg,[1 2 1],1,286.957523,6,289.352006,2.394483,292.973789,300.989889,2,306.039609,2,371487.037,1,301.50656,4,371484.9822,3,310.57264,2,371486.7082,314.589021
4,4,10,2,314.605664,1.5,3,0.75,task/Jitter/left1.jpg,task/Jitter/right1.jpg,NaN,[1 2],1,319.98868,2,321.687031,1.698351,326.004957,334.021087,3,343.6038,3,371485.48,2,339.07078,1,371485.924,1,334.537729,3,371486.39,347.620186
4,4,11,1,347.636832,1.5,3,0.75,task/Jitter/left1.jpg,task/Jitter/left1.jpg,NaN,[1 1],1,353.019859,77,355.460024,2.440165,359.036135,367.052262,2,372.101941,4,371485.743,1,367.568902,4,371484.94,3,376.634965,4,371484.8678,380.651371
4,4,12,2,380.668053,0.75,4.5,0.75,task/Jitter/right3.jpg,task/Jitter/right1.jpg,task/Jitter/left1.jpg,[2 2 1],1,386.850981,75,388.588992,1.738011,392.86725,400.883364,2,405.93306,3,371485.3586,1,401.400025,1,371484.9367,3,410.466099,3,371486.0845,414.482488
4,4,13,2,414.499167,1.5,3,1.5,task/Jitter/left1.jpg,task/Jitter/right2.jpg,NaN,[1 2],1,420.632102,17,423.503003,2.870901,426.648354,434.664493,3,444.24722,1,371485.1154,2,439.714183,1,371484.8197,1,435.181152,4,371485.8964,448.263599
4,4,14,1,448.280235,0.75,3,1.5,task/Jitter/right2.jpg,task/Jitter/right2.jpg,NaN,[2 2],1,453.646596,27,456.198969,2.552373,459.662881,467.67899,3,477.261709,2,371486.7468,2,472.728671,4,371485.638,1,468.195638,2,371485.8642,481.278095
4,4,15,1,481.294789,1.5,3,1.5,task/Jitter/left3.jpg,task/Jitter/left2.jpg,NaN,[1 1],1,487.427711,69,489.93698,2.509269,493.443949,501.460106,2,506.509806,3,371485.3897,3,511.042827,4,371485.1859,1,501.976757,4,371486.0971,515.059221
4,4,16,2,515.075898,0.75,3,1.5,task/Jitter/right1.jpg,task/Jitter/left3.jpg,NaN,[2 1],1,520.458882,57,522.967969,2.509087,526.475161,534.491275,3,544.073992,3,371486.4777,1,535.007937,1,371485.9788,2,539.540986,3,371486.2888,548.090378
