sub,run,trial,condition,fixOnsetTime,jitter1,jitter2,jitter3,jitterStim1,jitterStim2,jitterStim3,jitterResp,jitterAccuracy,memOnsetTime,eventNum,memRTtime,memRT,cftOnsetTime,endCFT,plausibilityOrder,plausibilityOnsetTime,plausibilityResponse,plausibilityRT,controlOrder,controlOnsetTime,controlResponse,controlRT,difficultyOrder,difficultyOnsetTime,difficultyResponse,difficultyRT,trialEnd
12,3,1,1,8.052895,1.5,4.5,1.5,task/Jitter/left3.jpg,task/Jitter/right2.jpg,task/Jitter/left1.jpg,[0 2 1],0.666667,15.752375,29,16.965792,1.213416,21.768655,29.784784,3,39.367494,4,1052466.301,1,30.301418,4,1052466.523,2,34.834468,2,1052467.352,43.383877
12,3,2,2,43.400535,1.5,4.5,0.75,task/Jitter/right3.jpg,task/Jitter/right2.jpg,task/Jitter/right3.jpg,[2 2 2],1,50.31679,4,54.418906,4.102116,56.333049,64.349159,1,64.865821,3,1052466.557,3,73.931896,2,1052467.203,2,69.398854,2,1052465.586,77.948294
12,3,3,2,77.964963,1.5,4.5,0.75,task/Jitter/right1.jpg,task/Jitter/left3.jpg,task/Jitter/left1.jpg,[2 1 1],1,84.897847,18,87.288837,2.39099,90.914117,98.930255,3,108.512955,3,1052466.855,2,103.979939,1,1052466.302,1,99.446919,3,1052466.42,112.529358
12,3,4,1,112.546024,0.75,3,0.75,task/Jitter/left3.jpg,task/Jitter/left1.jpg,NaN,[1 1],1,117.195729,78,119.736842,2.541113,123.212011,131.228134,1,131.744766,4,1052465.713,2,136.277812,4,1052466.123,3,140.810837,4,1052467.23,144.827229
12,3,5,2,144.843919,0.75,4.5,0.75,task/Jitter/left1.jpg,task/Jitter/left2.jpg,task/Jitter/left1.jpg,[1 1 1],1,151.010182,42,152.897831,1.887649,157.026447,165.042575,1,165.559213,4,1052465.586,2,170.092248,2,1052465.797,3,174.62529,2,1052467.497,178.641691
12,3,6,1,178.658369,1.5,3,0.75,task/Jitter/right3.jpg,task/Jitter/right2.jpg,NaN,[2 2],1,184.041346,62,189.799825,5.758479,190.057574,198.073746,3,207.656453,2,1052467.655,2,203.123431,2,1052465.839,1,198.590378,3,1052467.678,211.672853
12,3,7,2,211.689522,1.5,4.5,1.5,task/Jitter/left1.jpg,task/Jitter/right2.jpg,task/Jitter/right3.jpg,[1 2 1],0.666667,219.372351,40,221.231817,1.859466,225.3886,233.404767,3,242.98747,4,1052465.905,2,238.45443,2,1052467.016,1,233.921411,3,1052466.411,247.003869
12,3,8,2,247.020547,0.75,4.5,0.75,task/Jitter/right2.jpg,task/Jitter/right3.jpg,task/Jitter/left1.jpg,[2 2 1],1,253.203481,72,255.184841,1.98136,259.219706,267.235848,3,276.818586,1,1052466.482,2,272.285564,1,1052465.476,1,267.752517,3,1052467.065,280.834984
12,3,9,1,280.851626,1.5,4.5,1.5,task/Jitter/left2.jpg,task/Jitter/right3.jpg,task/Jitter/left2.jpg,[1 2 1],1,288.51783,26,290.758834,2.241004,294.534083,302.550203,3,312.132933,3,1052465.967,1,303.066855,4,1052467.102,2,307.599889,3,1052466.946,316.149333
12,3,10,1,316.16595,1.5,4.5,0.75,task/Jitter/right2.jpg,task/Jitter/left1.jpg,task/Jitter/left2.jpg,[2 1 1],1,323.115541,22,325.484761,2.36922,329.131822,337.147927,1,337.664605,4,1052465.848,3,346.730662,4,1052466.433,2,342.197634,4,1052466.224,350.747052
12,3,11,2,350.763688,1.5,3,1.5,task/Jitter/left1.jpg,task/Jitter/left2.jpg,NaN,[1 1],1,356.896676,49,,,362.912929,370.929084,2,375.978759,2,1052467.939,3,380.511777,1,1052465.729,1,371.445708,,,384.528169
12,3,12,2,384.544843,1.5,4.5,0.75,task/Jitter/right2.jpg,task/Jitter/right2.jpg,task/Jitter/right1.jpg,[2 1 2],0.666667,391.477739,48,395.956725,4.478986,397.493998,405.510115,2,410.559814,2,1052467.133,3,415.092839,1,1052465.143,1,406.026778,3,1052466.329,419.109226
12,3,13,2,419.12591,1.5,3,1.5,task/Jitter/left2.jpg,task/Jitter/right3.jpg,NaN,[1 2],1,425.258844,57,428.87879,3.619945,431.27508,439.291248,1,439.807902,,,2,444.34093,1,1052466.684,3,448.873952,,,452.890337
12,3,14,1,452.907018,0.75,4.5,1.5,task/Jitter/left3.jpg,task/Jitter/right1.jpg,task/Jitter/left2.jpg,[1 2 1],1,459.839896,58,462.541753,2.701857,465.85616,473.872301,2,478.921989,1,1052467.414,1,474.388959,1,1052466.512,3,483.45503,2,1052466.219,487.471403
12,3,15,1,487.488098,1.5,4.5,0.75,task/Jitter/right3.jpg,task/Jitter/right1.jpg,task/Jitter/right2.jpg,[2 2 2],1,494.42097,46,496.507803,2.086833,500.437236,508.453366,1,508.970025,1,1052468.234,3,518.036093,2,1052466.267,2,513.503044,2,1052465.878,522.052478
12,3,16,1,522.069113,1.5,3,1.5,task/Jitter/left2.jpg,task/Jitter/right3.jpg,NaN,[1 2],1,528.202098,43,530.550765,2.348668,534.218339,542.234486,3,551.817207,1,1052466.537,1,542.751124,4,1052465.75,2,547.284164,3,1052467.946,555.833592
