Condition,Frequency,sub,EventNumber
Context,4,29,54
Self,1,29,23
Context,2,29,67
Self,2,29,42
Self,1,29,74
Context,2,29,36
Context,4,29,31
Context,3,29,76
Self,2,29,32
Self,3,29,65
Context,4,29,62
Self,5,29,16
Context,3,29,75
Self,2,29,44
Self,7,29,22
Context,4,29,80
Self,6,29,12
Self,5,29,41
Context,3,29,47
Self,6,29,2
Context,5,29,71
Context,3,29,46
Context,2,29,43
Self,5,29,27
Self,6,29,15
Context,6,29,79
Self,7,29,4
Self,5,29,6
Context,2,29,13
Context,2,29,77
Self,1,29,26
Context,7,29,56
Self,6,29,5
Context,5,29,70
Context,6,29,19
Self,1,29,24
Context,3,29,45
Self,6,29,9
Context,6,29,18
Context,6,29,10
Self,2,29,37
Self,3,29,68
Context,2,29,35
Context,4,29,40
Context,7,29,53
Self,5,29,3
Self,4,29,73
Self,4,29,1
Context,5,29,48
Self,5,29,69
Context,6,29,21
Self,5,29,11
Self,5,29,8
Context,3,29,66
Context,5,29,64
Self,5,29,72
Self,1,29,14
Context,6,29,49
Self,2,29,51
Context,6,29,55
Context,5,29,63
Self,4,29,39
Self,7,29,78
Context,5,29,25
,,,52
,,,38
,,,17
