EventNumber,Detail,Vividness,Valence,Regret,Control,R1,R2,difference
50,5,4,3,5,7,5,1,4
8,6,6,1,4,2,2,5,3
14,3,4,2,1,2,5,2,3
32,4,3,3,2,1,5,2,3
45,2,4,3,5,5,7,4,3
70,5,4,3,2,3,4,7,3
5,6,6,3,3,5,6,4,2
6,4,4,4,2,6,7,5,2
9,5,4,3,2,1,5,7,2
15,6,6,2,6,6,5,7,2
20,6,6,3,2,1,3,1,2
21,4,4,4,3,2,4,6,2
22,3,4,4,2,2,4,6,2
23,2,3,3,2,1,4,6,2
24,2,2,4,1,1,4,6,2
25,3,5,2,2,2,4,6,2
26,3,5,2,2,2,4,6,2
27,5,6,2,5,1,2,4,2
31,5,4,4,2,5,5,7,2
35,4,6,2,3,1,2,4,2
46,3,4,3,6,6,6,4,2
53,4,5,2,4,1,4,6,2
57,5,7,1,6,1,1,3,2
74,6,3,3,4,4,5,7,2
75,4,5,4,3,5,5,7,2
76,4,4,3,2,2,4,6,2
77,5,5,3,2,3,3,5,2
3,4,6,2,4,1,4,5,1
7,6,6,2,3,1,2,1,1
11,4,2,4,2,5,7,6,1
13,4,3,4,2,6,5,6,1
16,3,3,2,5,4,6,7,1
17,6,4,2,4,3,5,6,1
18,5,4,3,3,2,6,5,1
19,5,6,2,3,6,6,7,1
28,4,5,2,5,1,2,3,1
29,3,3,2,4,1,2,1,1
30,4,4,2,5,1,2,1,1
33,6,4,3,3,1,2,1,1
34,5,5,3,3,1,2,1,1
36,3,3,4,6,7,6,7,1
37,2,3,3,3,6,7,6,1
40,2,3,3,3,6,6,7,1
41,3,4,3,4,6,6,5,1
42,4,3,2,5,5,5,4,1
43,4,3,4,2,4,6,5,1
48,3,3,3,4,3,4,5,1
49,4,3,3,4,3,4,5,1
51,2,3,4,1,6,6,7,1
52,2,3,4,1,6,6,7,1
54,3,3,3,3,5,6,5,1
56,5,5,2,5,2,6,5,1
58,4,6,1,6,1,1,2,1
59,3,6,1,6,1,1,2,1
60,4,6,1,6,1,1,2,1
61,5,5,1,6,1,1,2,1
62,2,4,3,5,5,6,5,1
67,5,4,3,3,5,6,5,1
68,4,5,2,5,5,7,6,1
78,5,6,2,6,5,7,6,1
80,6,6,2,6,3,5,4,1
1,6,6,3,4,6,7,7,0
2,6,5,4,3,6,7,7,0
4,5,4,1,6,6,6,6,0
10,4,3,3,3,4,6,6,0
12,4,5,2,5,6,6,6,0
38,1,2,4,2,5,5,5,0
39,2,2,3,3,5,5,5,0
44,4,6,2,6,6,6,6,0
47,3,3,3,4,6,5,5,0
55,3,3,3,3,5,5,5,0
63,4,5,3,5,3,6,6,0
64,3,4,3,4,4,6,6,0
65,3,3,4,2,6,6,6,0
66,3,3,3,3,6,6,6,0
69,3,3,3,3,6,6,6,0
71,3,4,4,4,5,6,6,0
72,2,3,4,2,6,5,5,0
73,3,3,3,3,6,6,6,0
79,6,6,3,5,5,7,7,0
