EventNumber,Detail,Vividness,Valence,Regret,Control,R1,R2,rating,Condition,sub
54,3,3,3,3,5,6,5,5.5,2,29
23,2,3,3,2,1,4,6,5,1,29
67,5,4,3,3,5,6,5,5.5,2,29
42,4,3,2,5,5,5,4,4.5,1,29
74,6,3,3,4,4,5,7,6,1,29
36,3,3,4,6,7,6,7,6.5,2,29
31,5,4,4,2,5,5,7,6,2,29
76,4,4,3,2,2,4,6,5,2,29
32,4,3,3,2,1,5,2,3.5,1,29
65,3,3,4,2,6,6,6,6,1,29
62,2,4,3,5,5,6,5,5.5,2,29
16,3,3,2,5,4,6,7,6.5,1,29
75,4,5,4,3,5,5,7,6,2,29
44,4,6,2,6,6,6,6,6,1,29
22,3,4,4,2,2,4,6,5,1,29
80,6,6,2,6,3,5,4,4.5,2,29
12,4,5,2,5,6,6,6,6,1,29
41,3,4,3,4,6,6,5,5.5,1,29
47,3,3,3,4,6,5,5,5,2,29
2,6,5,4,3,6,7,7,7,1,29
71,3,4,4,4,5,6,6,6,2,29
46,3,4,3,6,6,6,4,5,2,29
43,4,3,4,2,4,6,5,5.5,2,29
27,5,6,2,5,1,2,4,3,1,29
15,6,6,2,6,6,5,7,6,1,29
79,6,6,3,5,5,7,7,7,2,29
4,5,4,1,6,6,6,6,6,1,29
6,4,4,4,2,6,7,5,6,1,29
13,4,3,4,2,6,5,6,5.5,2,29
77,5,5,3,2,3,3,5,4,2,29
26,3,5,2,2,2,4,6,5,1,29
56,5,5,2,5,2,6,5,5.5,2,29
5,6,6,3,3,5,6,4,5,1,29
70,5,4,3,2,3,4,7,5.5,2,29
19,5,6,2,3,6,6,7,6.5,2,29
24,2,2,4,1,1,4,6,5,1,29
45,2,4,3,5,5,7,4,5.5,2,29
9,5,4,3,2,1,5,7,6,1,29
18,5,4,3,3,2,6,5,5.5,2,29
10,4,3,3,3,4,6,6,6,2,29
37,2,3,3,3,6,7,6,6.5,1,29
68,4,5,2,5,5,7,6,6.5,1,29
35,4,6,2,3,1,2,4,3,2,29
40,2,3,3,3,6,6,7,6.5,2,29
53,4,5,2,4,1,4,6,5,2,29
3,4,6,2,4,1,4,5,4.5,1,29
73,3,3,3,3,6,6,6,6,1,29
1,6,6,3,4,6,7,7,7,1,29
48,3,3,3,4,3,4,5,4.5,2,29
69,3,3,3,3,6,6,6,6,1,29
21,4,4,4,3,2,4,6,5,2,29
11,4,2,4,2,5,7,6,6.5,1,29
8,6,6,1,4,2,2,5,3.5,1,29
66,3,3,3,3,6,6,6,6,2,29
64,3,4,3,4,4,6,6,6,2,29
72,2,3,4,2,6,5,5,5,1,29
14,3,4,2,1,2,5,2,3.5,1,29
49,4,3,3,4,3,4,5,4.5,2,29
51,2,3,4,1,6,6,7,6.5,1,29
55,3,3,3,3,5,5,5,5,2,29
63,4,5,3,5,3,6,6,6,2,29
39,2,2,3,3,5,5,5,5,1,29
78,5,6,2,6,5,7,6,6.5,1,29
25,3,5,2,2,2,4,6,5,2,29
52,2,3,4,1,6,6,7,6.5,0,29
38,1,2,4,2,5,5,5,5,0,29
17,6,4,2,4,3,5,6,5.5,0,29
