EventNumber,Detail,Vividness,Valence,Regret,Control,R1,R2,rating,Condition,sub
50,7,7,2,7,7,5,7,6,2,8
41,6,7,6,2,4,7,5,6,1,8
77,6,5,3,6,4,5,7,6,2,8
24,6,5,2,4,2,6,4,5,1,8
59,4,3,4,4,6,7,7,7,1,8
2,6,5,4,6,7,7,7,7,2,8
78,4,3,3,6,5,7,6,6.5,2,8
3,7,6,3,2,2,5,6,5.5,2,8
47,6,5,3,1,3,5,4,4.5,1,8
8,7,5,4,2,1,7,6,6.5,1,8
37,6,5,2,5,6,6,6,6,2,8
4,4,4,3,5,6,7,7,7,1,8
6,6,5,4,4,7,7,6,6.5,2,8
48,5,5,4,4,3,7,7,7,1,8
13,5,3,4,4,4,5,6,5.5,1,8
58,7,6,2,4,1,5,5,5,2,8
34,3,3,4,5,6,7,7,7,1,8
23,6,5,2,6,6,5,7,6,1,8
49,6,4,3,4,4,6,5,5.5,2,8
39,6,5,2,5,7,7,7,7,1,8
32,4,4,4,5,3,7,6,6.5,2,8
10,7,7,2,4,2,6,5,5.5,2,8
51,6,6,3,5,6,6,6,6,2,8
52,6,5,3,5,4,5,4,4.5,1,8
29,7,6,4,5,4,7,7,7,1,8
21,5,3,2,6,7,7,7,7,2,8
27,5,2,4,5,6,7,7,7,1,8
61,6,6,3,5,3,7,6,6.5,1,8
12,5,6,3,4,1,7,5,6,2,8
54,6,5,1,5,1,5,4,4.5,2,8
35,5,3,4,2,7,5,7,6,1,8
73,7,6,4,2,4,6,7,6.5,2,8
80,7,6,4,1,5,5,7,6,1,8
71,7,7,1,6,2,5,7,6,2,8
15,5,2,3,6,3,7,7,7,2,8
45,6,6,4,5,7,5,6,5.5,1,8
38,5,4,6,2,3,7,6,6.5,2,8
57,6,4,4,3,4,7,7,7,1,8
55,6,6,1,5,6,6,6,6,2,8
68,5,4,4,5,7,7,7,7,2,8
44,7,5,3,7,7,7,7,7,1,8
28,7,6,3,1,7,7,7,7,1,8
5,5,5,4,5,7,4,5,4.5,2,8
46,5,3,3,5,3,7,7,7,2,8
40,5,4,4,5,7,5,7,6,2,8
9,7,7,2,4,3,6,4,5,1,8
43,7,5,3,6,3,6,7,6.5,1,8
18,6,7,2,6,5,7,7,7,1,8
11,6,6,3,4,2,5,5,5,2,8
22,6,3,3,5,2,7,6,6.5,1,8
79,5,4,3,7,6,5,6,5.5,2,8
1,5,4,4,4,7,7,7,7,1,8
16,4,5,3,6,5,4,5,4.5,1,8
72,6,5,1,6,7,6,7,6.5,2,8
63,6,3,5,1,2,7,7,7,2,8
62,7,7,1,7,3,6,4,5,1,8
36,6,5,3,1,3,5,4,4.5,1,8
19,4,2,4,2,2,6,4,5,2,8
7,5,6,4,6,7,7,7,7,1,8
70,7,6,3,5,4,5,6,5.5,2,8
69,7,5,4,3,6,7,7,7,2,8
42,7,6,3,6,6,5,6,5.5,1,8
31,6,5,3,5,4,7,7,7,1,8
60,7,7,3,6,7,6,6,6,2,8
20,3,2,4,3,7,7,7,7,0,8
66,6,5,4,1,5,6,5,5.5,0,8
33,6,5,4,3,7,6,7,6.5,0,8
