EventNumber,Detail,Vividness,Valence,Regret,Control,R1,R2,difference
77,6,5,3,6,4,5,7,4
17,7,6,2,4,1,4,3,3
23,6,5,2,6,6,5,7,3
53,7,6,1,3,1,2,2,3
1,5,4,4,4,7,7,7,2
9,7,7,2,4,3,6,4,2
12,5,6,3,4,1,7,5,2
19,4,2,4,2,2,6,4,2
24,6,5,2,4,2,6,4,2
35,5,3,4,2,7,5,7,2
40,5,4,4,5,7,5,7,2
41,6,7,6,2,4,7,5,2
50,7,7,2,7,7,5,7,2
56,6,3,4,1,7,2,4,2
62,7,7,1,7,3,6,4,2
71,7,7,1,6,2,5,7,2
80,7,6,4,1,5,5,7,2
3,7,6,3,2,2,5,6,1
5,5,5,4,5,7,4,5,1
6,6,5,4,4,7,7,6,1
8,7,5,4,2,1,7,6,1
10,7,7,2,4,2,6,5,1
13,5,3,4,4,4,5,6,1
16,4,5,3,6,5,4,5,1
22,6,3,3,5,2,7,6,1
25,2,2,4,4,2,5,4,1
26,7,6,3,1,4,3,4,1
30,7,6,2,4,3,3,4,1
32,4,4,4,5,3,7,6,1
33,6,5,4,3,7,6,7,1
36,6,5,3,1,3,5,4,1
38,5,4,6,2,3,7,6,1
42,7,6,3,6,6,5,6,1
43,7,5,3,6,3,6,7,1
45,6,6,4,5,7,5,6,1
47,6,5,3,1,3,5,4,1
49,6,4,3,4,4,6,5,1
52,6,5,3,5,4,5,4,1
54,6,5,1,5,1,5,4,1
61,6,6,3,5,3,7,6,1
66,6,5,4,1,5,6,5,1
67,6,3,4,2,2,4,5,1
70,7,6,3,5,4,5,6,1
72,6,5,1,6,7,6,7,1
73,7,6,4,2,4,6,7,1
74,7,3,1,7,6,3,4,1
75,5,4,4,4,4,5,4,1
76,5,3,6,1,1,2,3,1
78,4,3,3,6,5,7,6,1
79,5,4,3,7,6,5,6,1
2,6,5,4,6,7,7,7,0
4,4,4,3,5,6,7,7,0
7,5,6,4,6,7,7,7,0
11,6,6,3,4,2,5,5,0
14,4,4,2,4,1,1,1,0
15,5,2,3,6,3,7,7,0
18,6,7,2,6,5,7,7,0
20,3,2,4,3,7,7,7,0
21,5,3,2,6,7,7,7,0
27,5,2,4,5,6,7,7,0
28,7,6,3,1,7,7,7,0
29,7,6,4,5,4,7,7,0
31,6,5,3,5,4,7,7,0
34,3,3,4,5,6,7,7,0
37,6,5,2,5,6,6,6,0
39,6,5,2,5,7,7,7,0
44,7,5,3,7,7,7,7,0
46,5,3,3,5,3,7,7,0
48,5,5,4,4,3,7,7,0
51,6,6,3,5,6,6,6,0
55,6,6,1,5,6,6,6,0
57,6,4,4,3,4,7,7,0
58,7,6,2,4,1,5,5,0
59,4,3,4,4,6,7,7,0
60,7,7,3,6,7,6,6,0
63,6,3,5,1,2,7,7,0
64,7,4,1,7,2,4,4,0
65,6,5,3,6,1,4,4,0
68,5,4,4,5,7,7,7,0
69,7,5,4,3,6,7,7,0
