Condition,Frequency,sub,EventNumber
Context,2,8,50
Self,5,8,41
Context,3,8,77
Self,4,8,24
Self,6,8,59
Context,4,8,2
Context,4,8,78
Context,6,8,3
Self,6,8,47
Self,5,8,8
Context,5,8,37
Self,5,8,4
Context,3,8,6
Self,4,8,48
Self,5,8,13
Context,5,8,58
Self,3,8,34
Self,4,8,23
Context,5,8,49
Self,6,8,39
Context,4,8,32
Context,2,8,10
Context,4,8,51
Self,5,8,52
Self,4,8,29
Context,4,8,21
Self,5,8,27
Self,6,8,61
Context,4,8,12
Context,3,8,54
Self,4,8,35
Context,3,8,73
Self,6,8,80
Context,3,8,71
Context,5,8,15
Self,5,8,45
Context,2,8,38
Self,4,8,57
Context,3,8,55
Context,2,8,68
Self,5,8,44
Self,7,8,28
Context,2,8,5
Context,3,8,46
Context,4,8,40
Self,6,8,9
Self,4,8,43
Self,4,8,18
Context,2,8,11
Self,5,8,22
Context,2,8,79
Self,4,8,1
Self,5,8,16
Context,2,8,72
Context,1,8,63
Self,6,8,62
Self,4,8,36
Context,3,8,19
Self,4,8,7
Context,5,8,70
Context,2,8,69
Self,6,8,42
Self,5,8,31
Context,1,8,60
,,,20
,,,66
,,,33
