EventNumber,Detail,Vividness,Valence,Regret,Control,R1,R2,difference
7,5,6,6,2,8,7,7,6
18,7,2,2,4,6,1,1,6
70,4,7,2,5,3,1,1,5
4,6,4,6,2,2,2,2,4
9,6,2,4,6,8,4,3,4
31,3,3,4,4,8,3,5,4
57,3,4,6,2,6,5,7,4
65,3,7,4,4,3,4,2,4
13,7,4,6,2,3,2,5,3
14,7,8,3,5,3,1,4,3
40,4,5,8,2,8,7,4,3
45,5,6,2,2,2,4,1,3
72,5,2,7,3,7,7,4,3
73,3,7,4,2,2,6,3,3
8,7,8,2,2,2,3,1,2
15,2,8,5,2,4,5,7,2
17,7,2,6,6,8,5,7,2
19,5,6,4,2,2,5,7,2
33,4,5,6,7,8,6,4,2
35,7,8,4,6,4,6,4,2
47,4,4,8,2,2,6,4,2
64,6,7,2,4,4,5,3,2
69,6,4,6,2,2,4,2,2
71,4,5,6,5,3,6,4,2
75,5,3,7,2,2,5,7,2
76,5,4,6,2,2,5,7,2
78,6,3,8,2,5,7,5,2
80,7,8,8,2,4,6,4,2
1,7,8,2,5,3,6,7,1
3,5,8,2,2,2,3,4,1
5,7,8,2,2,6,5,4,1
10,4,8,2,3,5,7,6,1
20,7,8,5,2,2,6,7,1
22,2,2,6,2,2,3,2,1
23,4,4,8,2,2,5,4,1
28,4,3,5,6,7,2,3,1
32,7,8,2,4,4,7,6,1
36,5,4,5,3,8,5,4,1
42,3,6,8,2,2,3,2,1
49,2,7,8,3,7,6,7,1
50,3,6,7,2,2,4,5,1
51,3,4,3,6,8,7,6,1
52,5,4,4,3,2,5,6,1
53,6,3,2,5,5,6,7,1
56,6,7,2,6,3,6,7,1
58,6,6,5,4,2,6,7,1
59,5,6,7,2,2,1,2,1
74,2,6,4,2,2,4,3,1
79,6,7,3,5,4,5,4,1
2,7,8,4,5,8,7,7,0
6,7,4,4,2,8,7,7,0
11,7,8,2,2,2,1,1,0
12,5,8,5,5,6,7,7,0
16,5,8,2,2,8,7,7,0
21,3,8,8,2,2,6,6,0
24,3,3,8,6,5,6,6,0
25,7,4,5,8,8,7,7,0
26,7,8,2,7,8,7,7,0
27,4,3,8,4,8,7,7,0
29,7,6,8,5,8,7,7,0
30,7,8,2,8,8,7,7,0
34,3,6,8,2,8,7,7,0
37,5,5,4,3,3,7,7,0
38,2,5,7,4,8,7,7,0
39,7,4,3,2,2,6,6,0
41,5,6,2,6,5,5,5,0
43,5,8,2,6,5,7,7,0
44,4,6,2,8,8,7,7,0
46,6,5,8,2,8,6,6,0
48,6,4,6,4,6,5,5,0
54,5,6,7,2,8,7,7,0
55,7,6,2,5,4,7,7,0
60,3,2,8,2,8,7,7,0
61,5,6,3,6,6,7,7,0
62,5,7,2,8,6,7,7,0
63,5,3,6,3,6,5,5,0
66,6,5,3,4,5,6,6,0
67,5,5,7,4,5,7,7,0
68,5,3,4,3,7,7,7,0
77,6,2,7,2,2,3,3,0
