EventNumber,Detail,Vividness,Valence,Regret,Control,R1,R2,rating,Condition,sub
17,7,2,6,6,8,5,7,6,2,5
40,4,5,8,2,8,7,4,5.5,1,5
75,5,3,7,2,2,5,7,6,2,5
36,5,4,5,3,8,5,4,4.5,1,5
27,4,3,8,4,8,7,7,7,1,5
37,5,5,4,3,3,7,7,7,2,5
56,6,7,2,6,3,6,7,6.5,2,5
35,7,8,4,6,4,6,4,5,2,5
74,2,6,4,2,2,4,3,3.5,1,5
20,7,8,5,2,2,6,7,6.5,1,5
76,5,4,6,2,2,5,7,6,2,5
43,5,8,2,6,5,7,7,7,1,5
51,3,4,3,6,8,7,6,6.5,2,5
54,5,6,7,2,8,7,7,7,1,5
47,4,4,8,2,2,6,4,5,1,5
50,3,6,7,2,2,4,5,4.5,2,5
38,2,5,7,4,8,7,7,7,1,5
57,3,4,6,2,6,5,7,6,1,5
71,4,5,6,5,3,6,4,5,2,5
30,7,8,2,8,8,7,7,7,1,5
58,6,6,5,4,2,6,7,6.5,2,5
41,5,6,2,6,5,5,5,5,2,5
21,3,8,8,2,2,6,6,6,2,5
13,7,4,6,2,3,2,5,3.5,1,5
7,5,6,6,2,8,7,7,7,1,5
26,7,8,2,7,8,7,7,7,2,5
25,7,4,5,8,8,7,7,7,1,5
53,6,3,2,5,5,6,7,6.5,1,5
78,6,3,8,2,5,7,5,6,2,5
31,3,3,4,4,8,3,5,4,2,5
46,6,5,8,2,8,6,6,6,1,5
39,7,4,3,2,2,6,6,6,2,5
72,5,2,7,3,7,7,4,5.5,1,5
19,5,6,4,2,2,5,7,6,2,5
44,4,6,2,8,8,7,7,7,2,5
80,7,8,8,2,4,6,4,5,1,5
66,6,5,3,4,5,6,6,6,2,5
67,5,5,7,4,5,7,7,7,1,5
15,2,8,5,2,4,5,7,6,2,5
29,7,6,8,5,8,7,7,7,2,5
61,5,6,3,6,6,7,7,7,1,5
55,7,6,2,5,4,7,7,7,1,5
65,3,7,4,4,3,4,2,3,2,5
2,7,8,4,5,8,7,7,7,2,5
52,5,4,4,3,2,5,6,5.5,2,5
73,3,7,4,2,2,6,3,4.5,1,5
32,7,8,2,4,4,7,6,6.5,1,5
16,5,8,2,2,8,7,7,7,1,5
23,4,4,8,2,2,5,4,4.5,2,5
10,4,8,2,3,5,7,6,6.5,1,5
63,5,3,6,3,6,5,5,5,2,5
6,7,4,4,2,8,7,7,7,1,5
3,5,8,2,2,2,3,4,3.5,1,5
1,7,8,2,5,3,6,7,6.5,2,5
60,3,2,8,2,8,7,7,7,2,5
79,6,7,3,5,4,5,4,4.5,1,5
9,6,2,4,6,8,4,3,3.5,1,5
64,6,7,2,4,4,5,3,4,2,5
68,5,3,4,3,7,7,7,7,1,5
48,6,4,6,4,6,5,5,5,2,5
34,3,6,8,2,8,7,7,7,2,5
33,4,5,6,7,8,6,4,5,1,5
62,5,7,2,8,6,7,7,7,1,5
24,3,3,8,6,5,6,6,6,2,5
12,5,8,5,5,6,7,7,7,0,5
5,7,8,2,2,6,5,4,4.5,0,5
49,2,7,8,3,7,6,7,6.5,0,5
