Condition,Frequency,sub,EventNumber
Context,2,5,17
Self,1,5,40
Context,1,5,75
Self,1,5,36
Self,1,5,27
Context,2,5,37
Context,2,5,56
Context,3,5,35
Self,2,5,74
Self,1,5,20
Context,1,5,76
Self,4,5,43
Context,2,5,51
Self,1,5,54
Self,1,5,47
Context,1,5,50
Self,1,5,38
Self,3,5,57
Context,2,5,71
Self,4,5,30
Context,2,5,58
Context,3,5,41
Context,2,5,21
Self,2,5,13
Self,3,5,7
Context,1,5,26
Self,1,5,25
Self,1,5,53
Context,1,5,78
Context,3,5,31
Self,1,5,46
Context,2,5,39
Self,2,5,72
Context,1,5,19
Context,1,5,44
Self,1,5,80
Context,2,5,66
Self,1,5,67
Context,1,5,15
Context,2,5,29
Self,1,5,61
Self,1,5,55
Context,2,5,65
Context,2,5,2
Context,1,5,52
Self,4,5,73
Self,2,5,32
Self,2,5,16
Context,2,5,23
Self,2,5,10
Context,1,5,63
Self,1,5,6
Self,3,5,3
Context,7,5,1
Context,1,5,60
Self,3,5,79
Self,2,5,9
Context,4,5,64
Self,2,5,68
Context,2,5,48
Context,1,5,34
Self,2,5,33
Self,2,5,62
Context,3,5,24
,,,12
,,,5
,,,49
