Condition,Frequency,sub,EventNumber
Context,1,28,49
Self,2,28,78
Context,4,28,53
Self,5,28,29
Self,2,28,43
Context,1,28,34
Context,4,28,52
Context,1,28,17
Self,3,28,24
Self,1,28,39
Context,2,28,70
Self,3,28,26
Context,4,28,27
Self,2,28,19
Self,3,28,79
Context,5,28,13
Self,1,28,69
Self,1,28,59
Context,1,28,42
Self,4,28,22
Context,6,28,45
Context,4,28,36
Context,6,28,73
Self,2,28,51
Self,4,28,48
Context,2,28,47
Self,4,28,32
Self,3,28,46
Context,3,28,65
Context,2,28,30
Self,4,28,66
Context,4,28,33
Self,3,28,55
Context,2,28,18
Context,4,28,57
Self,3,28,80
Context,2,28,63
Self,2,28,3
Context,3,28,31
Context,2,28,60
Self,3,28,21
Self,4,28,4
Context,2,28,40
Context,2,28,2
Context,2,28,41
Self,3,28,75
Self,5,28,28
Self,6,28,1
Context,7,28,11
Self,5,28,37
Context,4,28,35
Self,3,28,7
Self,4,28,72
Context,3,28,38
Context,4,28,77
Self,2,28,23
Self,5,28,12
Context,5,28,71
Self,2,28,56
Context,2,28,76
Context,1,28,68
Self,3,28,25
Self,4,28,5
Context,4,28,20
,,,14
,,,8
,,,54
