EventNumber,Detail,Vividness,Valence,Regret,Control,R1,R2,rating,Condition,sub
49,3,3,4,5,7,6,6,6,2,28
78,4,3,3,1,1,5,6,5.5,1,28
53,4,3,6,7,7,6,6,6,2,28
29,3,2,5,2,1,4,6,5,1,28
43,4,2,4,4,4,7,6,6.5,1,28
34,3,3,4,4,7,7,7,7,2,28
52,5,5,2,2,1,7,5,6,2,28
17,4,2,4,1,3,6,5,5.5,2,28
24,3,2,3,5,5,5,4,4.5,1,28
39,7,7,3,2,3,5,7,6,1,28
70,7,7,5,3,7,7,5,6,2,28
26,4,4,2,7,7,7,7,7,1,28
27,2,5,2,4,6,6,6,6,2,28
19,7,7,3,1,4,7,6,6.5,1,28
79,7,7,2,1,1,5,5,5,1,28
13,5,5,5,1,2,5,5,5,2,28
69,4,4,2,7,7,6,7,6.5,1,28
59,4,5,4,4,5,7,5,6,1,28
42,3,3,5,2,7,5,6,5.5,2,28
22,7,5,2,5,7,7,7,7,1,28
45,7,7,3,7,7,7,5,6,2,28
36,7,7,4,7,7,7,4,5.5,2,28
73,7,7,1,6,3,5,6,5.5,2,28
51,6,4,4,5,3,6,3,4.5,1,28
48,6,7,1,4,7,6,7,6.5,1,28
47,7,7,1,6,7,7,7,7,2,28
32,4,4,6,2,6,7,7,7,1,28
46,7,7,1,1,1,6,6,6,1,28
65,7,7,1,4,1,7,4,5.5,2,28
30,5,4,2,6,4,3,6,4.5,2,28
66,4,5,2,5,3,6,5,5.5,1,28
33,5,6,3,3,2,6,6,6,2,28
55,7,7,3,5,7,5,6,5.5,1,28
18,5,5,4,1,7,5,7,6,2,28
57,7,7,2,5,4,7,7,7,2,28
80,7,7,2,1,1,5,5,5,1,28
63,7,7,3,4,1,6,6,6,2,28
3,7,7,4,7,7,6,7,6.5,1,28
31,5,4,4,3,5,5,7,6,2,28
60,4,2,4,5,7,7,6,6.5,2,28
21,4,2,3,7,7,7,7,7,1,28
4,7,7,3,7,7,7,7,7,1,28
40,4,3,4,1,1,4,5,4.5,2,28
2,7,7,4,7,7,7,7,7,2,28
41,3,2,3,4,1,5,6,5.5,2,28
75,5,3,4,3,4,5,5,5,1,28
28,7,7,1,1,1,6,6,6,1,28
1,7,7,1,1,4,7,7,7,1,28
11,7,7,1,1,1,5,4,4.5,2,28
37,7,7,1,7,7,5,7,6,1,28
35,4,7,1,4,1,5,5,5,2,28
7,7,7,4,1,3,7,7,7,1,28
72,7,7,2,1,4,4,5,4.5,1,28
38,4,7,5,1,6,7,6,6.5,2,28
77,4,3,4,1,1,7,6,6.5,2,28
23,3,3,3,4,7,5,5,5,1,28
12,4,3,3,3,1,6,3,4.5,1,28
71,7,7,1,6,1,4,5,4.5,2,28
56,4,7,4,6,6,7,7,7,1,28
76,3,2,1,4,5,6,4,5,2,28
68,4,3,4,1,7,6,7,6.5,2,28
25,3,4,5,4,4,5,6,5.5,1,28
5,7,5,3,7,7,7,7,7,1,28
20,4,4,2,5,7,5,6,5.5,2,28
14,7,7,5,4,4,7,7,7,0,28
8,4,4,3,7,7,6,4,5,0,28
54,7,7,3,7,7,5,7,6,0,28
