EventNumber,Detail,Vividness,Valence,Regret,Control,R1,R2,difference
15,7,7,4,1,1,2,2,5
61,5,2,4,5,7,2,1,5
6,7,6,4,2,3,3,3,4
9,7,7,1,2,2,3,3,4
58,7,7,3,4,3,2,2,4
12,4,3,3,3,1,6,3,3
30,5,4,2,6,4,3,6,3
36,7,7,4,7,7,7,4,3
51,6,4,4,5,3,6,3,3
64,7,7,4,4,1,5,2,3
65,7,7,1,4,1,7,4,3
8,4,4,3,7,7,6,4,2
16,3,3,4,1,1,5,3,2
18,5,5,4,1,7,5,7,2
29,3,2,5,2,1,4,6,2
31,5,4,4,3,5,5,7,2
37,7,7,1,7,7,5,7,2
39,7,7,3,2,3,5,7,2
45,7,7,3,7,7,7,5,2
50,2,3,3,1,4,2,4,2
52,5,5,2,2,1,7,5,2
54,7,7,3,7,7,5,7,2
59,4,5,4,4,5,7,5,2
70,7,7,5,3,7,7,5,2
76,3,2,1,4,5,6,4,2
3,7,7,4,7,7,6,7,1
10,4,3,3,1,1,2,3,1
11,7,7,1,1,1,5,4,1
17,4,2,4,1,3,6,5,1
19,7,7,3,1,4,7,6,1
20,4,4,2,5,7,5,6,1
24,3,2,3,5,5,5,4,1
25,3,4,5,4,4,5,6,1
38,4,7,5,1,6,7,6,1
40,4,3,4,1,1,4,5,1
41,3,2,3,4,1,5,6,1
42,3,3,5,2,7,5,6,1
43,4,2,4,4,4,7,6,1
48,6,7,1,4,7,6,7,1
55,7,7,3,5,7,5,6,1
60,4,2,4,5,7,7,6,1
66,4,5,2,5,3,6,5,1
68,4,3,4,1,7,6,7,1
69,4,4,2,7,7,6,7,1
71,7,7,1,6,1,4,5,1
72,7,7,2,1,4,4,5,1
73,7,7,1,6,3,5,6,1
77,4,3,4,1,1,7,6,1
78,4,3,3,1,1,5,6,1
1,7,7,1,1,4,7,7,0
2,7,7,4,7,7,7,7,0
4,7,7,3,7,7,7,7,0
5,7,5,3,7,7,7,7,0
7,7,7,4,1,3,7,7,0
13,5,5,5,1,2,5,5,0
14,7,7,5,4,4,7,7,0
21,4,2,3,7,7,7,7,0
22,7,5,2,5,7,7,7,0
23,3,3,3,4,7,5,5,0
26,4,4,2,7,7,7,7,0
27,2,5,2,4,6,6,6,0
28,7,7,1,1,1,6,6,0
32,4,4,6,2,6,7,7,0
33,5,6,3,3,2,6,6,0
34,3,3,4,4,7,7,7,0
35,4,7,1,4,1,5,5,0
44,7,7,2,1,1,1,1,0
46,7,7,1,1,1,6,6,0
47,7,7,1,6,7,7,7,0
49,3,3,4,5,7,6,6,0
53,4,3,6,7,7,6,6,0
56,4,7,4,6,6,7,7,0
57,7,7,2,5,4,7,7,0
62,4,5,4,1,1,3,3,0
63,7,7,3,4,1,6,6,0
67,7,5,4,1,1,3,3,0
74,7,7,3,1,1,2,2,0
75,5,3,4,3,4,5,5,0
79,7,7,2,1,1,5,5,0
80,7,7,2,1,1,5,5,0
