Condition,Frequency,sub,EventNumber
Context,2,15,66
Self,3,15,73
Context,4,15,17
Self,3,15,50
Self,6,15,13
Context,5,15,60
Context,6,15,10
Context,7,15,7
Self,1,15,14
Self,5,15,26
Context,4,15,8
Self,5,15,43
Context,7,15,21
Self,2,15,53
Self,3,15,67
Context,5,15,25
Self,6,15,37
Self,4,15,54
Context,5,15,18
Self,2,15,28
Context,4,15,31
Context,1,15,76
Context,5,15,38
Self,6,15,23
Self,6,15,1
Context,4,15,16
Self,2,15,75
Self,3,15,2
Context,1,15,29
Context,3,15,74
Self,6,15,62
Context,5,15,39
Self,5,15,24
Context,2,15,63
Context,6,15,15
Self,5,15,68
Context,6,15,40
Self,5,15,69
Context,1,15,36
Context,3,15,33
Self,5,15,49
Self,5,15,22
Context,4,15,46
Context,3,15,52
Context,7,15,65
Self,7,15,4
Self,2,15,59
Self,5,15,12
Context,5,15,30
Self,4,15,79
Context,5,15,42
Self,6,15,58
Self,7,15,20
Context,1,15,78
Context,3,15,56
Self,4,15,70
Self,5,15,41
Context,3,15,34
Self,3,15,61
Context,6,15,19
Context,4,15,45
Self,7,15,9
Self,4,15,47
Context,3,15,51
,,,71
,,,80
,,,32
