sub,run,trial,condition,fixOnsetTime,jitter1,jitter2,jitter3,jitterStim1,jitterStim2,jitterStim3,jitterResp,jitterAccuracy,memOnsetTime,eventNum,memRTtime,memRT,cftOnsetTime,endCFT,plausibilityOrder,plausibilityOnsetTime,plausibilityResponse,plausibilityRT,controlOrder,controlOnsetTime,controlResponse,controlRT,difficultyOrder,difficultyOnsetTime,difficultyResponse,difficultyRT,trialEnd
22,2,1,1,8.039047,0.75,4.5,1.5,task/Jitter/right1.jpg,task/Jitter/left1.jpg,task/Jitter/right2.jpg,[2 1 2],1,14.971928,70,,,20.988195,29.004283,1,29.520968,4,2319.60203,2,34.053988,4,2318.808992,3,38.587033,4,2319.610904,42.603417
22,2,2,1,42.620105,1.5,3,0.75,task/Jitter/right2.jpg,task/Jitter/right2.jpg,NaN,[2 2],1,47.98641,46,50.017277,2.030867,54.002669,62.018816,3,71.601504,3,2319.328371,1,62.535451,2,2320.610483,2,67.068486,2,2320.293361,75.617892
22,2,3,2,75.634563,1.5,4.5,1.5,task/Jitter/right1.jpg,task/Jitter/left1.jpg,task/Jitter/left1.jpg,[2 1 0],0.666667,83.300746,71,85.913255,2.612509,89.317014,97.333118,3,106.915856,3,2319.463058,1,97.849769,4,2319.22991,2,102.382819,4,2319.601827,110.932221
22,2,4,1,110.948908,0.75,3,0.75,task/Jitter/right3.jpg,task/Jitter/right3.jpg,NaN,[2 2],1,115.565272,44,116.994224,1.428952,121.581535,129.597665,3,139.180382,4,2319.842428,1,130.114307,3,2319.071291,2,134.647339,4,2320.408516,143.196758
22,2,5,2,143.213453,1.5,4.5,1.5,task/Jitter/left2.jpg,task/Jitter/right3.jpg,task/Jitter/right2.jpg,[1 2 2],1,150.896262,18,153.09219,2.195928,156.912538,164.928643,1,165.445324,3,2319.552254,3,174.511384,3,2319.130172,2,169.978337,4,2320.079236,178.527761
22,2,6,2,178.544452,1.5,3,1.5,task/Jitter/right3.jpg,task/Jitter/right1.jpg,NaN,[0 2],0.5,184.677367,36,185.86803,1.190662,190.693648,198.709786,3,208.292472,1,2320.423099,1,199.226419,4,2319.631133,2,203.759446,2,2319.106296,212.308873
22,2,7,2,212.325487,0.75,4.5,1.5,task/Jitter/left3.jpg,task/Jitter/left2.jpg,task/Jitter/right1.jpg,[0 1 2],0.666667,219.258416,41,220.419036,1.16062,225.274705,233.290802,2,238.3405,1,2319.879997,3,242.873539,3,2318.659156,1,233.807454,4,2319.54799,246.889922
22,2,8,1,246.906588,0.75,3,0.75,task/Jitter/right1.jpg,task/Jitter/right1.jpg,NaN,[2 2],1,251.522956,5,254.66901,3.146054,257.539221,265.555355,3,275.138068,4,2319.547373,1,266.071989,1,2319.298655,2,270.605033,2,2320.058403,279.154447
22,2,9,1,279.171126,1.5,4.5,1.5,task/Jitter/right2.jpg,task/Jitter/right1.jpg,task/Jitter/right1.jpg,[2 2 2],1,286.853965,69,288.108984,1.25502,292.870232,300.886338,3,310.469071,2,2320.423524,2,305.936035,4,2319.212612,1,301.403003,2,2318.882527,314.485455
22,2,10,2,314.502123,0.75,4.5,1.5,task/Jitter/left1.jpg,task/Jitter/right3.jpg,task/Jitter/right3.jpg,[1 2 2],1,321.41834,35,323.815979,2.39764,327.43461,335.450708,3,345.033452,2,2321.317873,2,340.500416,2,2320.739225,1,335.967376,3,2319.108973,349.049846
22,2,11,1,349.066525,0.75,4.5,1.5,task/Jitter/left3.jpg,task/Jitter/left2.jpg,task/Jitter/right3.jpg,[1 1 2],1,355.999389,63,361.531885,5.532496,362.015653,370.03178,2,375.081461,3,2319.638082,1,370.548428,4,2319.252185,3,379.614501,2,2319.528796,383.630892
22,2,12,1,383.647512,0.75,3,1.5,task/Jitter/right1.jpg,task/Jitter/left1.jpg,NaN,[2 1],1,389.030541,20,390.552817,1.522276,395.046811,403.062939,2,408.112619,3,2319.094983,1,403.579592,3,2318.998969,3,412.645652,2,2318.976869,416.662034
22,2,13,2,416.678714,1.5,4.5,1.5,task/Jitter/right3.jpg,task/Jitter/right3.jpg,task/Jitter/left2.jpg,[2 2 1],1,424.344879,80,425.461813,1.116935,430.361152,438.377261,1,438.893913,3,2319.366336,3,447.959985,3,2318.834425,2,443.426955,,,451.976366
22,2,14,2,451.993063,1.5,4.5,0.75,task/Jitter/left1.jpg,task/Jitter/right2.jpg,task/Jitter/left3.jpg,[1 2 1],1,458.925931,72,459.908743,0.982812,464.942198,472.958313,2,478.007999,3,2319.48444,1,473.474963,1,2319.294216,3,482.541044,2,2320.625121,486.557428
22,2,15,1,486.57411,0.75,3,0.75,task/Jitter/right3.jpg,task/Jitter/left1.jpg,NaN,[2 1],1,491.20714,6,493.450719,2.243579,497.223395,505.239529,3,514.822232,3,2319.832193,2,510.289194,4,2319.9822,1,505.756163,4,2319.191215,518.838633
22,2,16,2,518.855313,0.75,4.5,1.5,task/Jitter/right1.jpg,task/Jitter/right2.jpg,task/Jitter/right3.jpg,[0 2 2],0.666667,525.788193,77,527.960712,2.172519,531.804418,539.820579,3,549.419961,3,2319.14633,1,540.337212,3,2319.583108,2,544.870247,1,2321.807109,553.436332
