sub,run,trial,condition,fixOnsetTime,jitter1,jitter2,jitter3,jitterStim1,jitterStim2,jitterStim3,jitterResp,jitterAccuracy,memOnsetTime,eventNum,memRTtime,memRT,cftOnsetTime,endCFT,plausibilityOrder,plausibilityOnsetTime,plausibilityResponse,plausibilityRT,controlOrder,controlOnsetTime,controlResponse,controlRT,difficultyOrder,difficultyOnsetTime,difficultyResponse,difficultyRT,trialEnd
15,1,1,2,8.044354,1.5,4.5,1.5,task/Jitter/right2.jpg,task/Jitter/right3.jpg,task/Jitter/right3.jpg,[2 2 2],1,15.777183,66,20.390958,4.613775,21.793417,29.809585,2,34.85926,,,3,39.39231,2,753706.34,1,30.32623,1,753705.9601,43.408682
15,1,2,1,43.442045,1.5,3,0.75,task/Jitter/left1.jpg,task/Jitter/right2.jpg,NaN,[0 2],0.5,48.841697,73,54.586153,5.744456,54.85797,62.874086,2,67.923779,3,753705.8366,1,63.390741,2,753707.2674,3,72.456823,2,753705.8986,76.473211
15,1,3,2,76.489838,0.75,3,1.5,task/Jitter/right3.jpg,task/Jitter/right1.jpg,NaN,[2 2],1,81.872859,17,86.644148,4.771289,87.889131,95.905272,1,96.421923,2,753707.1426,3,105.487998,2,753705.6534,2,100.954953,3,753705.6782,109.50439
15,1,4,1,109.521074,1.5,4.5,1.5,task/Jitter/left1.jpg,task/Jitter/left2.jpg,task/Jitter/left1.jpg,[1 1 1],1,117.187242,50,,,123.203505,131.219627,2,136.269317,4,753705.7009,1,131.736276,3,753706.3079,3,140.802363,3,753706.621,144.818757
15,1,5,1,144.835435,0.75,3,1.5,task/Jitter/left2.jpg,task/Jitter/right2.jpg,NaN,[1 2],1,150.218422,13,155.359181,5.14076,156.234678,164.250823,2,169.300511,4,753706.1347,3,173.833545,3,753705.6357,1,164.767469,3,753705.4329,177.849937
15,1,6,2,177.86662,0.75,3,1.5,task/Jitter/right2.jpg,task/Jitter/right2.jpg,NaN,[0 2],0.5,183.232926,60,187.924238,4.691312,189.249211,197.265352,1,197.781989,2,753706.3284,2,202.31503,2,753705.5004,3,206.848066,2,753706.5872,210.864433
15,1,7,2,210.881064,1.5,4.5,1.5,task/Jitter/left2.jpg,task/Jitter/right2.jpg,task/Jitter/right1.jpg,[1 2 2],1,218.58062,10,222.420203,3.839583,224.596876,232.613008,3,242.195762,3,753706.7508,1,233.129675,2,753706.3517,2,237.662713,3,753705.4788,246.212154
15,1,8,2,246.228838,0.75,3,1.5,task/Jitter/right1.jpg,task/Jitter/left3.jpg,NaN,[2 1],1,251.62847,7,,,257.644727,265.660884,2,270.710561,3,753706.731,3,275.243614,2,753706.0689,1,266.177528,4,753706.0137,279.259996
15,1,9,1,279.276675,1.5,3,0.75,task/Jitter/right2.jpg,task/Jitter/right2.jpg,NaN,[2 2],1,284.659667,14,,,290.675948,298.692094,1,299.208715,1,753707.3308,3,308.2748,2,753705.6547,2,303.741764,2,753706.9485,312.291183
15,1,10,1,312.307863,0.75,4.5,1.5,task/Jitter/left3.jpg,task/Jitter/left2.jpg,task/Jitter/right1.jpg,[1 1 2],1,319.257425,26,,,325.273654,333.289799,1,333.806473,2,753705.951,3,342.872543,2,753705.054,2,338.339504,3,753706.9679,346.888939
15,1,11,2,346.905622,0.75,3,1.5,task/Jitter/left2.jpg,task/Jitter/right1.jpg,NaN,[1 2],1,352.288605,8,355.107289,2.818684,358.30488,366.320999,3,375.903728,3,753706.3547,2,371.370702,2,753706.3228,1,366.83765,3,753706.3339,379.920111
15,1,12,1,379.936809,1.5,4.5,1.5,task/Jitter/right3.jpg,task/Jitter/left1.jpg,task/Jitter/left2.jpg,[2 1 1],1,387.63631,43,391.010322,3.374012,393.652581,401.668704,1,402.185366,3,753706.1031,3,411.251438,4,753704.9508,2,406.718395,4,753705.1619,415.267827
15,1,13,2,415.284515,0.75,4.5,0.75,task/Jitter/right1.jpg,task/Jitter/left2.jpg,task/Jitter/left1.jpg,[2 1 1],1,421.467442,21,426.190274,4.722832,427.483687,435.499825,1,436.016497,,,2,440.549523,2,753706.378,3,445.082577,3,753705.6819,449.098972
15,1,14,1,449.115649,1.5,4.5,0.75,task/Jitter/right2.jpg,task/Jitter/right1.jpg,task/Jitter/right1.jpg,[2 2 2],1,456.031851,53,460.664272,4.632421,462.048141,470.064258,2,475.113953,3,753705.4714,1,470.580915,3,753705.9054,3,479.646984,2,753707.2036,483.663374
15,1,15,1,483.680066,0.75,3,0.75,task/Jitter/right3.jpg,task/Jitter/left3.jpg,NaN,[2 1],1,488.313061,67,492.643303,4.330242,494.329365,502.345491,1,502.862156,2,753706.2424,2,507.395181,2,753706.3154,3,511.928216,2,753705.0764,515.944624
15,1,16,2,515.961246,1.5,3,1.5,task/Jitter/left2.jpg,task/Jitter/left1.jpg,NaN,[1 1],1,522.094237,25,526.141444,4.047207,528.110501,536.126626,2,541.176329,3,753706.1533,3,545.709371,3,753705.5782,1,536.643295,4,753706.7543,549.725757
