EventNumber,Detail,Vividness,Valence,Regret,Control,R1,R2,rating,Condition,sub
25,2,4,2,3,5,6,5,5.5,2,16
57,4,4,2,5,2,4,6,5,1,16
9,4,4,3,4,5,7,4,5.5,2,16
49,2,2,3,4,4,4,5,4.5,1,16
47,4,4,2,6,6,7,5,6,1,16
18,5,5,2,4,4,7,6,6.5,2,16
39,1,2,3,3,2,6,6,6,2,16
37,2,2,2,5,6,5,5,5,2,16
59,3,3,2,4,2,5,3,4,1,16
71,1,1,4,3,6,7,5,6,1,16
45,2,2,2,2,2,6,5,5.5,2,16
8,2,2,3,5,6,7,7,7,1,16
42,2,2,3,3,2,6,6,6,2,16
44,2,4,4,2,2,7,6,6.5,1,16
51,4,4,1,6,6,4,5,4.5,1,16
64,2,2,3,2,2,5,4,4.5,2,16
46,2,2,3,5,5,6,7,6.5,1,16
68,4,4,2,4,4,7,4,5.5,1,16
52,2,2,3,4,2,5,5,5,2,16
12,2,2,2,6,6,7,7,7,1,16
2,2,2,4,3,2,6,6,6,2,16
75,4,4,2,5,6,4,6,5,2,16
33,2,2,3,4,4,5,6,5.5,2,16
61,4,4,2,4,4,4,4,4,1,16
38,1,2,3,4,6,7,6,6.5,1,16
11,4,4,2,6,6,7,7,7,2,16
35,2,2,2,5,5,7,6,6.5,1,16
32,4,4,3,5,6,6,6,6,1,16
26,3,5,3,4,4,6,5,5.5,2,16
53,1,1,4,2,6,5,4,4.5,2,16
5,1,1,4,2,6,6,5,5.5,1,16
76,4,4,4,5,6,6,6,6,2,16
36,3,3,2,5,4,6,4,5,1,16
21,4,6,2,6,6,4,7,5.5,2,16
24,3,3,1,3,6,6,7,6.5,2,16
10,4,4,2,5,5,5,4,4.5,1,16
17,3,3,1,6,6,5,6,5.5,2,16
41,4,4,2,3,3,5,7,6,1,16
30,4,4,2,4,5,7,4,5.5,2,16
55,1,1,2,4,6,7,5,6,2,16
43,2,2,1,2,3,7,6,6.5,1,16
19,3,5,1,6,5,7,6,6.5,1,16
77,3,4,3,2,6,3,5,4,2,16
40,2,2,2,5,3,6,7,6.5,2,16
6,1,1,4,2,6,6,5,5.5,2,16
20,3,4,3,1,6,5,4,4.5,1,16
73,4,4,3,6,6,7,5,6,1,16
7,3,3,2,5,5,7,7,7,1,16
65,1,1,3,3,6,4,5,4.5,2,16
58,1,1,3,3,3,7,5,6,1,16
74,2,2,3,4,6,5,5,5,2,16
13,4,4,2,6,6,7,6,6.5,1,16
54,1,1,4,2,6,5,4,4.5,1,16
34,4,4,3,2,6,5,7,6,2,16
22,3,4,3,2,5,5,7,6,2,16
69,4,4,2,3,3,5,4,4.5,1,16
16,3,3,1,6,2,4,4,4,1,16
70,1,1,4,3,6,6,3,4.5,2,16
28,3,5,2,5,5,7,6,6.5,1,16
67,4,4,3,3,5,5,5,5,2,16
4,2,3,3,2,6,7,5,6,2,16
80,4,4,2,3,6,5,5,5,1,16
27,2,3,1,6,6,7,6,6.5,1,16
48,2,2,3,4,4,6,5,5.5,2,16
31,2,3,2,5,5,7,6,6.5,0,16
23,2,3,2,4,4,5,4,4.5,0,16
72,1,1,4,3,6,6,6,6,0,16
