Condition,Frequency,sub,EventNumber
Context,5,16,25
Self,5,16,57
Context,4,16,9
Self,3,16,49
Self,4,16,47
Context,4,16,18
Context,1,16,39
Context,1,16,37
Self,1,16,59
Self,2,16,71
Context,1,16,45
Self,3,16,8
Context,2,16,42
Self,3,16,44
Self,2,16,51
Context,2,16,64
Self,2,16,46
Self,2,16,68
Context,3,16,52
Self,5,16,12
Context,2,16,2
Context,2,16,75
Context,2,16,33
Self,1,16,61
Self,1,16,38
Context,2,16,11
Self,2,16,35
Self,2,16,32
Context,3,16,26
Context,1,16,53
Self,1,16,5
Context,1,16,76
Self,4,16,36
Context,2,16,21
Context,2,16,24
Self,1,16,10
Context,5,16,17
Self,2,16,41
Context,1,16,30
Context,1,16,55
Self,1,16,43
Self,6,16,19
Context,3,16,77
Context,4,16,40
Context,1,16,6
Self,2,16,20
Self,3,16,73
Self,3,16,7
Context,1,16,65
Self,3,16,58
Context,2,16,74
Self,5,16,13
Self,1,16,54
Context,1,16,34
Context,1,16,22
Self,1,16,69
Self,4,16,16
Context,4,16,70
Self,2,16,28
Context,1,16,67
Context,1,16,4
Self,1,16,80
Self,6,16,27
Context,1,16,48
,,,31
,,,23
,,,72
