EventNumber,Detail,Vividness,Valence,Regret,Control,R1,R2,difference
9,4,4,3,4,5,7,4,3
21,4,6,2,6,6,4,7,3
24,3,3,1,3,6,6,7,3
30,4,4,2,4,5,7,4,3
40,2,2,2,5,3,6,7,3
41,4,4,2,3,3,5,7,3
66,1,1,2,3,3,2,5,3
68,4,4,2,4,4,7,4,3
70,1,1,4,3,6,6,3,3
1,4,4,2,3,1,3,3,2
4,2,3,3,2,6,7,5,2
22,3,4,3,2,5,5,7,2
34,4,4,3,2,6,5,7,2
36,3,3,2,5,4,6,4,2
47,4,4,2,6,6,7,5,2
55,1,1,2,4,6,7,5,2
57,4,4,2,5,2,4,6,2
58,1,1,3,3,3,7,5,2
59,3,3,2,4,2,5,3,2
60,2,2,3,3,4,1,3,2
71,1,1,4,3,6,7,5,2
73,4,4,3,6,6,7,5,2
75,4,4,2,5,6,4,6,2
77,3,4,3,2,6,3,5,2
79,2,2,3,2,3,5,3,2
5,1,1,4,2,6,6,5,1
6,1,1,4,2,6,6,5,1
10,4,4,2,5,5,5,4,1
13,4,4,2,6,6,7,6,1
14,4,3,3,2,1,1,2,1
15,4,3,3,3,1,1,2,1
17,3,3,1,6,6,5,6,1
18,5,5,2,4,4,7,6,1
19,3,5,1,6,5,7,6,1
20,3,4,3,1,6,5,4,1
23,2,3,2,4,4,5,4,1
25,2,4,2,3,5,6,5,1
26,3,5,3,4,4,6,5,1
27,2,3,1,6,6,7,6,1
28,3,5,2,5,5,7,6,1
31,2,3,2,5,5,7,6,1
33,2,2,3,4,4,5,6,1
35,2,2,2,5,5,7,6,1
38,1,2,3,4,6,7,6,1
43,2,2,1,2,3,7,6,1
44,2,4,4,2,2,7,6,1
45,2,2,2,2,2,6,5,1
46,2,2,3,5,5,6,7,1
48,2,2,3,4,4,6,5,1
49,2,2,3,4,4,4,5,1
51,4,4,1,6,6,4,5,1
53,1,1,4,2,6,5,4,1
54,1,1,4,2,6,5,4,1
56,1,1,2,4,2,3,2,1
62,4,4,2,3,4,1,2,1
63,4,4,2,3,1,2,1,1
64,2,2,3,2,2,5,4,1
65,1,1,3,3,6,4,5,1
69,4,4,2,3,3,5,4,1
2,2,2,4,3,2,6,6,0
3,3,3,3,2,2,3,3,0
7,3,3,2,5,5,7,7,0
8,2,2,3,5,6,7,7,0
11,4,4,2,6,6,7,7,0
12,2,2,2,6,6,7,7,0
16,3,3,1,6,2,4,4,0
29,5,5,2,5,5,3,3,0
32,4,4,3,5,6,6,6,0
37,2,2,2,5,6,5,5,0
39,1,2,3,3,2,6,6,0
42,2,2,3,3,2,6,6,0
50,2,2,3,4,4,4,4,0
52,2,2,3,4,2,5,5,0
61,4,4,2,4,4,4,4,0
67,4,4,3,3,5,5,5,0
72,1,1,4,3,6,6,6,0
74,2,2,3,4,6,5,5,0
76,4,4,4,5,6,6,6,0
78,4,4,3,4,6,3,3,0
80,4,4,2,3,6,5,5,0
