EventNumber,Detail,Vividness,Valence,Regret,Control,R1,R2,difference
54,3,2,1,7,3,1,1,6
72,7,7,1,7,1,3,1,6
26,7,7,1,7,1,2,2,5
42,4,3,3,3,1,2,2,5
46,7,7,1,7,1,1,4,5
75,2,2,3,2,5,7,3,4
31,3,4,1,7,5,4,7,3
38,7,7,1,7,1,6,3,3
65,7,7,5,4,1,5,2,3
71,7,7,1,4,3,7,4,3
74,5,5,2,2,4,4,7,3
77,7,7,1,7,1,4,7,3
10,6,5,4,2,1,4,6,2
12,2,3,4,3,3,5,7,2
18,7,7,5,1,1,5,3,2
19,3,2,3,6,2,4,6,2
34,7,7,4,7,1,5,7,2
35,4,4,4,4,2,7,5,2
37,7,7,1,7,5,5,3,2
43,4,3,4,7,1,5,7,2
45,3,2,3,7,4,4,6,2
49,7,7,4,7,3,4,2,2
50,7,7,1,7,1,4,2,2
53,3,2,4,3,5,4,2,2
64,3,2,4,3,2,1,3,2
66,3,2,4,7,3,5,3,2
67,7,7,1,4,1,5,7,2
68,3,2,3,7,2,5,7,2
76,6,4,3,3,3,5,7,2
1,7,7,4,2,1,7,6,1
2,4,5,3,1,1,6,7,1
3,6,7,2,5,4,7,6,1
7,4,5,2,3,1,7,6,1
11,7,7,1,7,2,6,7,1
13,4,7,1,3,1,5,6,1
23,7,7,1,7,1,7,6,1
28,4,3,1,3,1,7,6,1
29,7,7,1,7,4,6,5,1
32,3,2,2,4,3,6,7,1
36,4,3,3,3,2,3,2,1
40,3,2,4,2,4,7,6,1
41,7,7,1,7,1,4,5,1
58,7,7,1,7,1,6,7,1
59,7,7,1,7,6,4,5,1
62,3,2,4,3,1,4,5,1
69,3,2,1,7,1,7,6,1
73,4,3,2,7,2,5,6,1
79,5,1,4,2,4,7,6,1
80,4,2,4,4,3,5,6,1
4,7,7,1,7,1,7,7,0
5,5,5,2,1,3,7,7,0
6,7,7,3,1,3,6,6,0
8,2,3,3,1,1,5,5,0
9,3,3,3,4,4,7,7,0
14,3,2,4,4,5,7,7,0
15,2,4,3,5,1,7,7,0
16,6,7,1,5,5,6,6,0
17,6,6,1,7,1,7,7,0
20,6,7,2,7,2,7,7,0
21,5,3,3,5,2,7,7,0
22,3,2,3,4,2,7,7,0
24,7,7,3,7,3,7,7,0
25,7,7,1,7,2,7,7,0
27,4,5,3,7,1,7,7,0
30,7,7,3,7,4,4,4,0
33,2,3,3,3,4,6,6,0
39,7,7,1,7,7,6,6,0
44,4,3,1,3,4,2,2,0
47,3,2,1,7,3,6,6,0
48,7,7,3,7,1,5,5,0
51,3,2,4,3,1,7,7,0
52,7,7,1,7,3,7,7,0
55,3,2,3,7,4,7,7,0
56,3,2,3,7,1,7,7,0
57,1,1,1,7,1,7,7,0
60,3,2,4,3,4,7,7,0
61,7,7,1,7,1,1,1,0
63,3,2,4,3,3,7,7,0
70,7,7,4,7,6,7,7,0
78,2,2,4,2,3,7,7,0
