Condition,Frequency,sub,EventNumber
Context,1,11,47
Self,1,11,31
Context,1,11,76
Self,1,11,48
Self,1,11,63
Context,1,11,22
Context,1,11,3
Context,3,11,77
Self,1,11,30
Self,1,11,32
Context,1,11,68
Self,1,11,52
Context,1,11,7
Self,1,11,51
Self,1,11,80
Context,1,11,10
Self,1,11,14
Self,1,11,39
Context,1,11,29
Self,1,11,25
Context,1,11,2
Context,1,11,71
Context,1,11,33
Self,1,11,66
Self,1,11,56
Context,1,11,17
Self,1,11,55
Self,1,11,69
Context,1,11,6
Context,1,11,59
Self,1,11,34
Context,1,11,40
Self,1,11,43
Context,1,11,67
Context,1,11,57
Self,1,11,75
Context,1,11,79
Self,1,11,60
Context,1,11,16
Context,1,11,70
Self,1,11,9
Self,1,11,5
Context,1,11,18
Context,1,11,15
Context,1,11,35
Self,1,11,8
Self,1,11,58
Self,1,11,4
Context,1,11,38
Self,1,11,28
Context,1,11,73
Self,1,11,21
Self,1,11,62
Context,1,11,23
Context,1,11,11
Self,1,11,45
Self,1,11,37
Context,1,11,41
Self,1,11,24
Context,1,11,74
Context,1,11,78
Self,1,11,13
Self,1,11,20
Context,1,11,12
,,,27
,,,19
,,,1
