Condition,Frequency,sub,EventNumber
Context,5,26,17
Self,1,26,34
Context,4,26,74
Self,2,26,9
Self,1,26,76
Context,1,26,29
Context,2,26,77
Context,2,26,40
Self,1,26,78
Self,2,26,11
Context,1,26,63
Self,3,26,27
Context,5,26,10
Self,4,26,62
Self,2,26,23
Context,1,26,22
Self,2,26,57
Self,2,26,32
Context,1,26,16
Self,2,26,15
Context,2,26,24
Context,1,26,68
Context,6,26,80
Self,1,26,21
Self,1,26,56
Context,1,26,14
Self,4,26,45
Self,2,26,64
Context,6,26,19
Context,1,26,43
Self,2,26,6
Context,1,26,58
Self,3,26,59
Context,1,26,73
Context,1,26,38
Self,2,26,35
Context,1,26,60
Self,1,26,75
Context,1,26,4
Context,1,26,20
Self,4,26,51
Self,1,26,39
Context,1,26,66
Context,1,26,25
Context,2,26,44
Self,1,26,12
Self,4,26,52
Self,3,26,5
Context,4,26,7
Self,6,26,50
Context,1,26,72
Self,2,26,26
Self,1,26,69
Context,1,26,36
Context,4,26,18
Self,3,26,33
Self,2,26,48
Context,1,26,42
Self,2,26,30
Context,1,26,61
Context,1,26,31
Self,4,26,8
Self,1,26,47
Context,2,26,53
,,,37
,,,79
,,,49
