EventNumber,Detail,Vividness,Valence,Regret,Control,R1,R2,rating,Condition,sub
17,2,6,1,1,1,6,6,6,2,26
34,3,6,3,1,1,6,6,6,1,26
74,1,3,2,1,5,5,7,6,2,26
9,7,7,3,1,1,4,6,5,1,26
76,5,4,3,1,6,7,7,7,1,26
29,1,3,3,1,5,7,7,7,2,26
77,7,7,2,1,3,6,7,6.5,2,26
40,7,7,1,1,1,5,6,5.5,2,26
78,4,7,2,1,1,2,6,4,1,26
11,3,4,3,1,2,6,7,6.5,1,26
63,5,4,2,1,1,5,7,6,2,26
27,1,5,1,3,5,7,7,7,1,26
10,5,1,3,1,1,6,7,6.5,2,26
62,3,3,3,1,5,7,7,7,1,26
23,1,5,4,1,1,6,5,5.5,1,26
22,1,1,3,1,1,5,5,5,2,26
57,5,3,3,1,3,7,7,7,1,26
32,3,2,1,1,1,5,7,6,1,26
16,3,3,3,1,2,6,5,5.5,2,26
15,7,7,1,4,6,7,7,7,1,26
24,1,2,3,1,6,6,7,6.5,2,26
68,4,7,1,1,1,4,7,5.5,2,26
80,6,7,2,1,3,6,6,6,2,26
21,1,1,3,1,1,5,3,4,1,26
56,4,6,3,1,1,7,7,7,1,26
14,7,7,1,3,6,7,7,7,2,26
45,6,4,3,1,3,7,7,7,1,26
64,2,2,2,1,6,6,7,6.5,1,26
19,2,5,2,1,3,6,6,6,2,26
43,7,7,2,1,1,5,4,4.5,2,26
6,2,7,3,1,1,5,7,6,1,26
58,7,4,3,1,6,6,7,6.5,2,26
59,5,2,3,1,1,5,7,6,1,26
73,1,2,3,1,6,6,7,6.5,2,26
38,7,7,1,1,1,7,7,7,2,26
35,2,6,1,1,3,4,6,5,1,26
60,2,1,3,1,2,6,7,6.5,2,26
75,2,1,3,1,4,7,7,7,1,26
4,6,7,1,1,1,5,7,6,2,26
20,2,4,1,1,5,6,7,6.5,2,26
51,1,1,2,1,6,7,7,7,1,26
39,2,5,2,1,2,7,7,7,1,26
66,5,7,1,1,1,4,3,3.5,2,26
25,2,7,3,1,4,7,7,7,2,26
44,7,7,3,1,1,5,7,6,2,26
12,6,2,2,1,1,4,6,5,1,26
52,1,5,2,1,4,6,7,6.5,1,26
5,7,7,1,5,4,7,7,7,1,26
7,7,7,1,1,1,4,5,4.5,2,26
50,1,5,2,1,5,6,7,6.5,1,26
72,7,7,3,1,1,5,6,5.5,2,26
26,5,6,3,1,6,7,7,7,1,26
69,6,7,1,1,1,6,2,4,1,26
36,1,5,2,1,1,6,7,6.5,2,26
18,6,6,2,1,2,6,7,6.5,2,26
33,2,6,2,1,1,4,6,5,1,26
48,4,2,2,1,1,2,6,4,1,26
42,7,7,1,1,1,4,5,4.5,2,26
30,2,4,3,1,5,7,7,7,1,26
61,3,1,3,1,1,5,6,5.5,2,26
31,6,7,1,1,2,6,7,6.5,2,26
8,7,7,3,1,1,4,7,5.5,1,26
47,4,2,2,2,4,7,7,7,1,26
53,1,1,3,1,1,5,7,6,2,26
37,6,7,3,1,5,7,7,7,0,26
79,6,6,1,1,1,3,7,5,0,26
49,1,1,3,1,5,6,7,6.5,0,26
