Condition,Frequency,sub,EventNumber
Context,1,18,30
Self,2,18,21
Context,1,18,66
Self,1,18,12
Self,1,18,62
Context,1,18,11
Context,1,18,35
Context,1,18,67
Self,1,18,63
Self,1,18,73
Context,1,18,59
Self,1,18,16
Context,1,18,36
Self,2,18,44
Self,2,18,24
Context,1,18,34
Self,1,18,40
Self,1,18,29
Context,1,18,51
Self,4,18,8
Context,1,18,80
Context,1,18,43
Context,,18,75
Self,1,18,70
Self,1,18,39
Context,1,18,4
Self,1,18,28
Self,1,18,18
Context,1,18,53
Context,1,18,9
Self,1,18,27
Context,1,18,14
Self,1,18,17
Context,1,18,22
Context,2,18,33
Self,1,18,45
Context,,18,15
Self,1,18,46
Context,1,18,25
Context,1,18,64
Self,2,18,68
Self,1,18,48
Context,1,18,74
Context,1,18,1
Context,1,18,42
Self,1,18,71
Self,1,18,65
Self,5,18,50
Context,1,18,52
Self,1,18,78
Context,1,18,7
Self,1,18,10
Self,1,18,13
Context,1,18,72
Context,1,18,57
Self,,18,69
Self,1,18,49
Context,1,18,79
Self,1,18,20
Context,1,18,56
Context,1,18,38
Self,1,18,19
Self,1,18,55
Context,,18,61
,,,26
,,,47
,,,2
