EventNumber,Detail,Vividness,Valence,Regret,Control,R1,R2,difference
61,3,5,2,1,7,7,5,6
27,3,4,2,3,2,5,7,5
6,3,5,3,4,3,3,5,4
37,2,1,3,3,5,5,4,4
41,3,4,2,3,5,3,3,4
4,3,5,2,7,7,7,7,3
42,4,5,2,4,3,7,5,3
76,1,4,4,1,5,3,4,3
80,3,5,3,2,6,7,6,3
7,3,5,3,2,7,7,5,2
17,2,5,2,2,6,7,5,2
21,3,5,2,4,6,7,5,2
23,3,5,3,1,1,4,6,2
24,2,3,3,2,5,7,5,2
43,3,5,2,3,2,7,5,2
45,3,4,3,2,3,7,5,2
47,2,4,3,3,2,7,5,2
52,1,2,4,1,1,7,5,2
54,1,2,2,3,1,2,4,2
60,2,4,3,2,4,3,5,2
67,3,5,2,2,2,7,5,2
69,3,3,3,4,5,7,5,2
71,2,2,3,4,4,7,5,2
74,3,5,2,4,5,6,4,2
79,2,4,4,2,6,7,5,2
2,3,6,3,2,3,7,6,1
9,3,5,3,3,3,6,5,1
13,1,3,3,2,1,6,5,1
14,3,4,3,3,5,7,6,1
15,3,5,3,2,5,7,6,1
18,3,4,2,3,6,7,6,1
22,3,5,3,2,6,6,7,1
25,3,5,3,1,6,6,7,1
29,3,4,3,3,4,7,6,1
30,2,3,3,2,5,6,7,1
35,2,4,2,4,5,7,6,1
36,2,3,2,3,3,7,6,1
49,3,5,3,1,3,6,5,1
53,3,5,4,1,2,7,6,1
58,2,4,4,1,1,4,5,1
59,3,5,3,2,7,7,6,1
63,3,4,3,1,1,6,5,1
65,2,4,1,3,1,7,6,1
66,1,2,3,2,1,7,6,1
70,3,5,4,1,1,6,5,1
73,3,5,2,3,3,7,6,1
75,3,5,4,1,3,6,7,1
77,3,5,3,2,4,4,5,1
1,3,5,3,2,3,7,7,0
3,2,4,2,4,1,2,2,0
5,3,5,4,2,6,5,5,0
8,4,5,2,7,6,7,7,0
10,2,4,3,2,6,7,7,0
11,3,4,3,2,6,7,7,0
12,2,4,3,2,4,6,6,0
16,2,4,2,6,5,7,7,0
19,3,5,2,4,5,6,6,0
20,2,4,3,1,2,7,7,0
26,4,5,3,3,6,7,7,0
28,3,5,3,1,4,7,7,0
31,2,3,2,4,5,5,5,0
32,2,4,2,1,1,1,1,0
33,3,5,2,4,4,7,7,0
34,3,5,3,2,2,6,6,0
38,3,5,4,1,6,7,7,0
39,1,2,3,5,6,7,7,0
40,2,4,3,5,6,7,7,0
44,3,4,3,1,3,7,7,0
46,3,5,3,5,6,7,7,0
48,3,5,2,3,3,7,7,0
50,3,5,1,7,4,7,7,0
51,3,5,2,5,1,6,6,0
55,1,4,2,5,5,7,7,0
56,1,4,2,7,7,6,6,0
57,2,3,4,1,5,7,7,0
62,3,5,3,1,1,7,7,0
64,2,3,3,5,6,7,7,0
68,3,3,2,1,5,7,7,0
72,2,4,4,4,5,7,7,0
78,2,4,4,2,6,7,7,0
