EventNumber,Detail,Vividness,Valence,Regret,Control,R1,R2,rating,Condition,sub
77,4,4,5,2,1,5,6,5.5,2,35
67,4,5,3,3,7,4,6,5,1,35
73,4,7,6,1,4,5,6,5.5,2,35
53,5,5,3,3,1,4,5,4.5,1,35
69,4,4,5,3,4,6,7,6.5,1,35
41,3,4,3,2,1,6,7,6.5,2,35
15,4,5,3,2,5,6,6,6,2,35
74,5,4,4,2,7,5,5,5,2,35
54,7,7,5,1,1,4,5,4.5,1,35
26,5,6,4,5,7,6,6,6,1,35
68,6,6,6,1,6,5,6,5.5,2,35
36,6,4,3,3,1,7,7,7,1,35
35,4,3,3,2,7,6,6,6,2,35
6,4,6,5,3,5,7,6,6.5,1,35
30,7,7,7,7,3,6,4,5,1,35
63,5,6,4,2,2,5,4,4.5,2,35
59,5,3,4,2,2,7,6,6.5,1,35
78,5,4,4,2,2,5,6,5.5,1,35
13,5,6,5,4,4,5,5,5,2,35
19,5,5,3,1,7,7,7,7,1,35
44,6,5,4,3,7,6,6,6,2,35
1,3,3,3,1,1,5,5,5,2,35
38,4,3,1,1,2,4,6,5,2,35
50,6,7,6,1,7,5,4,4.5,1,35
43,5,5,4,2,3,7,6,6.5,1,35
14,3,5,3,3,1,7,7,7,2,35
46,6,5,3,4,1,7,6,6.5,1,35
5,3,5,3,4,5,6,6,6,1,35
80,6,7,6,4,1,5,6,5.5,2,35
17,6,6,5,3,1,5,4,4.5,2,35
60,3,2,2,2,1,5,5,5,1,35
61,2,2,2,2,2,5,6,5.5,2,35
23,5,5,3,4,5,6,4,5,1,35
32,5,4,3,2,4,6,5,5.5,2,35
65,3,2,4,1,1,7,7,7,2,35
31,7,7,7,7,1,5,5,5,1,35
18,6,4,3,2,7,6,5,5.5,2,35
58,7,5,5,2,4,7,6,6.5,1,35
42,3,4,4,1,1,5,6,5.5,2,35
37,3,3,1,1,1,5,7,6,2,35
3,6,4,1,1,1,7,6,6.5,1,35
16,3,5,5,4,6,7,7,7,1,35
12,7,7,7,5,7,5,4,4.5,2,35
64,3,4,1,1,6,6,7,6.5,2,35
22,5,5,3,4,5,6,4,5,2,35
33,4,4,3,3,6,5,4,4.5,1,35
47,6,4,3,2,1,7,5,6,1,35
2,5,5,3,2,1,7,7,7,1,35
79,6,7,4,1,7,4,5,4.5,2,35
24,5,4,3,3,1,5,7,6,1,35
52,6,6,6,1,1,5,5,5,2,35
4,4,3,2,1,3,7,6,6.5,1,35
20,5,4,5,5,6,5,4,4.5,1,35
11,4,5,3,1,4,5,7,6,2,35
70,4,3,2,2,1,5,7,6,2,35
48,5,3,2,1,1,4,5,4.5,1,35
34,3,5,5,5,3,4,5,4.5,1,35
8,4,7,5,1,5,5,4,4.5,2,35
72,4,3,3,2,2,6,7,6.5,1,35
29,3,6,5,3,1,5,5,5,2,35
40,4,3,2,1,3,5,7,6,2,35
75,5,4,4,2,7,5,5,5,1,35
28,6,7,7,7,4,7,7,7,1,35
57,3,2,1,4,2,5,5,5,2,35
9,5,4,3,3,7,7,6,6.5,0,35
62,3,3,2,3,2,5,4,4.5,0,35
55,4,4,1,1,5,5,6,5.5,0,35
