EventNumber,Detail,Vividness,Valence,Regret,Control,R1,R2,difference
39,5,4,4,2,1,1,1,6
56,7,7,5,7,4,2,4,5
71,3,6,6,2,1,2,4,4
41,3,4,3,2,1,6,7,3
51,5,5,4,3,2,2,2,3
62,3,3,2,3,2,5,4,3
63,5,6,4,2,2,5,4,3
66,5,3,3,3,2,3,3,3
72,4,3,3,2,2,6,7,3
11,4,5,3,1,4,5,7,2
21,4,3,2,1,7,5,3,2
22,5,5,3,4,5,6,4,2
23,5,5,3,4,5,6,4,2
24,5,4,3,3,1,5,7,2
30,7,7,7,7,3,6,4,2
37,3,3,1,1,1,5,7,2
38,4,3,1,1,2,4,6,2
40,4,3,2,1,3,5,7,2
47,6,4,3,2,1,7,5,2
49,4,5,3,3,6,2,4,2
67,4,5,3,3,7,4,6,2
70,4,3,2,2,1,5,7,2
3,6,4,1,1,1,7,6,1
4,4,3,2,1,3,7,6,1
6,4,6,5,3,5,7,6,1
7,7,7,7,5,1,2,3,1
8,4,7,5,1,5,5,4,1
9,5,4,3,3,7,7,6,1
10,4,5,2,1,1,4,3,1
12,7,7,7,5,7,5,4,1
17,6,6,5,3,1,5,4,1
18,6,4,3,2,7,6,5,1
20,5,4,5,5,6,5,4,1
32,5,4,3,2,4,6,5,1
33,4,4,3,3,6,5,4,1
34,3,5,5,5,3,4,5,1
42,3,4,4,1,1,5,6,1
43,5,5,4,2,3,7,6,1
46,6,5,3,4,1,7,6,1
48,5,3,2,1,1,4,5,1
50,6,7,6,1,7,5,4,1
53,5,5,3,3,1,4,5,1
54,7,7,5,1,1,4,5,1
55,4,4,1,1,5,5,6,1
58,7,5,5,2,4,7,6,1
59,5,3,4,2,2,7,6,1
61,2,2,2,2,2,5,6,1
64,3,4,1,1,6,6,7,1
68,6,6,6,1,6,5,6,1
69,4,4,5,3,4,6,7,1
73,4,7,6,1,4,5,6,1
76,3,3,2,2,2,3,4,1
77,4,4,5,2,1,5,6,1
78,5,4,4,2,2,5,6,1
79,6,7,4,1,7,4,5,1
80,6,7,6,4,1,5,6,1
1,3,3,3,1,1,5,5,0
2,5,5,3,2,1,7,7,0
5,3,5,3,4,5,6,6,0
13,5,6,5,4,4,5,5,0
14,3,5,3,3,1,7,7,0
15,4,5,3,2,5,6,6,0
16,3,5,5,4,6,7,7,0
19,5,5,3,1,7,7,7,0
25,4,3,4,5,3,4,4,0
26,5,6,4,5,7,6,6,0
27,3,4,5,4,1,3,3,0
28,6,7,7,7,4,7,7,0
29,3,6,5,3,1,5,5,0
31,7,7,7,7,1,5,5,0
35,4,3,3,2,7,6,6,0
36,6,4,3,3,1,7,7,0
44,6,5,4,3,7,6,6,0
45,5,5,6,5,1,4,4,0
52,6,6,6,1,1,5,5,0
57,3,2,1,4,2,5,5,0
60,3,2,2,2,1,5,5,0
65,3,2,4,1,1,7,7,0
74,5,4,4,2,7,5,5,0
75,5,4,4,2,7,5,5,0
