Condition,Frequency,sub,EventNumber
Context,7,23,17
Self,1,23,60
Context,1,23,12
Self,7,23,14
Self,1,23,19
Context,3,23,25
Context,7,23,80
Context,2,23,41
Self,4,23,15
Self,2,23,23
Context,5,23,40
Self,5,23,42
Context,3,23,3
Self,1,23,9
Self,2,23,53
Context,1,23,22
Self,4,23,2
Self,7,23,70
Context,6,23,56
Self,3,23,5
Context,7,23,59
Context,2,23,79
Context,4,23,34
Self,7,23,76
Self,7,23,61
Context,1,23,55
Self,6,23,74
Self,6,23,72
Context,3,23,18
Context,1,23,46
Self,5,23,64
Context,1,23,75
Self,6,23,71
Context,7,23,43
Context,4,23,49
Self,6,23,58
Context,1,23,78
Self,5,23,33
Context,2,23,47
Context,1,23,21
Self,6,23,30
Self,1,23,54
Context,7,23,51
Context,2,23,69
Context,2,23,67
Self,4,23,20
Self,7,23,7
Self,5,23,32
Context,6,23,28
Self,3,23,48
Context,1,23,29
Self,1,23,13
Self,2,23,10
Context,4,23,6
Context,1,23,44
Self,5,23,11
Self,3,23,26
Context,2,23,45
Self,7,23,27
Context,1,23,63
Context,1,23,31
Self,6,23,66
Self,3,23,4
Context,2,23,50
,,,62
,,,77
,,,8
