EventNumber,Detail,Vividness,Valence,Regret,Control,R1,R2,rating,Condition,sub
17,4,3,5,5,6,6,6,6,2,23
60,4,4,5,5,5,5,6,5.5,1,23
12,6,6,6,7,5,6,6,6,2,23
14,7,7,7,6,3,5,5,5,1,23
19,5,4,5,5,5,7,6,6.5,1,23
25,5,5,6,6,5,7,7,7,2,23
80,7,7,7,7,7,7,6,6.5,2,23
41,4,4,6,4,4,5,6,5.5,2,23
15,4,5,5,2,2,5,4,4.5,1,23
23,4,2,2,2,1,6,6,6,1,23
40,5,4,6,6,3,7,5,6,2,23
42,5,5,4,7,4,7,7,7,1,23
3,7,3,2,2,6,5,7,6,2,23
9,4,3,3,2,2,7,6,6.5,1,23
53,5,5,3,3,2,5,5,5,1,23
22,6,7,7,3,2,5,5,5,2,23
2,7,4,3,3,7,6,7,6.5,1,23
70,3,3,5,7,6,7,5,6,1,23
56,7,7,7,7,5,6,5,5.5,2,23
5,4,4,4,5,3,7,7,7,1,23
59,3,3,3,6,5,5,7,6,2,23
79,7,7,5,7,7,6,5,5.5,2,23
34,4,4,3,2,5,5,6,5.5,2,23
76,4,4,5,7,5,5,4,4.5,1,23
61,5,5,7,7,7,7,7,7,1,23
55,2,2,3,5,5,7,7,7,2,23
74,7,6,6,7,6,7,7,7,1,23
72,7,7,7,7,7,7,6,6.5,1,23
18,6,6,7,7,5,7,5,6,2,23
46,2,2,2,1,6,5,4,4.5,2,23
64,4,4,3,5,6,5,6,5.5,1,23
75,6,6,4,7,7,6,6,6,2,23
71,7,7,3,7,5,6,5,5.5,1,23
43,3,3,5,5,6,7,5,6,2,23
49,6,6,4,4,6,7,7,7,2,23
58,7,7,5,7,3,6,4,5,1,23
78,5,5,4,4,6,6,6,6,2,23
33,2,2,4,2,1,7,6,6.5,1,23
47,3,3,5,6,6,7,5,6,2,23
21,6,6,5,6,6,7,6,6.5,2,23
30,3,3,5,4,4,7,7,7,1,23
54,2,2,4,4,1,7,7,7,1,23
51,7,7,7,2,4,5,4,4.5,2,23
69,5,5,6,7,7,7,7,7,2,23
67,6,6,3,2,1,5,6,5.5,2,23
20,4,4,5,6,6,5,5,5,1,23
7,6,6,7,7,7,6,7,6.5,1,23
32,3,3,2,1,1,7,7,7,1,23
28,6,5,7,7,7,5,5,5,2,23
48,2,2,6,6,2,7,6,6.5,1,23
29,4,4,3,3,2,6,4,5,2,23
13,7,7,6,2,2,7,7,7,1,23
10,3,2,3,3,1,4,5,4.5,1,23
6,3,4,6,6,7,7,6,6.5,2,23
44,2,2,5,7,7,7,6,6.5,2,23
11,5,5,5,2,1,5,5,5,1,23
26,7,7,4,2,7,3,6,4.5,1,23
45,3,3,2,5,7,5,4,4.5,2,23
27,7,7,6,6,4,7,7,7,1,23
63,4,4,3,4,6,6,4,5,2,23
31,7,7,5,7,7,6,7,6.5,2,23
66,7,7,6,6,6,6,5,5.5,1,23
4,7,5,5,5,6,7,7,7,1,23
50,5,4,3,3,3,5,6,5.5,2,23
62,7,7,6,5,4,7,7,7,0,23
77,7,7,5,5,6,6,4,5,0,23
8,4,5,3,3,2,6,6,6,0,23
