Condition,Frequency,sub,EventNumber
Context,2,9,43
Self,1,9,65
Context,5,9,62
Self,1,9,40
Self,1,9,22
Context,1,9,38
Context,2,9,27
Context,2,9,53
Self,2,9,14
Self,1,9,1
Context,3,9,55
Self,1,9,10
Context,4,9,60
Self,4,9,5
Self,5,9,2
Context,2,9,59
Self,1,9,34
Self,2,9,24
Context,3,9,9
Self,3,9,6
Context,2,9,19
Context,3,9,47
Context,1,9,32
Self,2,9,30
Self,1,9,25
Context,3,9,3
Self,1,9,35
Self,2,9,23
Context,4,9,68
Context,1,9,61
Self,1,9,45
Context,1,9,74
Self,2,9,58
Context,2,9,56
Context,2,9,42
Self,5,9,20
Context,2,9,77
Self,1,9,17
Context,1,9,79
Context,1,9,36
Self,1,9,49
Self,1,9,33
Context,3,9,64
Context,2,9,54
Context,2,9,8
Self,2,9,26
Self,4,9,13
Self,4,9,12
Context,4,9,66
Self,3,9,71
Context,1,9,21
Self,2,9,57
Self,6,9,63
Context,1,9,29
Context,1,9,11
Self,1,9,76
Self,1,9,18
Context,1,9,50
Self,2,9,4
Context,2,9,67
Context,2,9,7
Self,1,9,46
Self,1,9,41
Context,2,9,78
,,,16
,,,44
,,,75
