Condition,Frequency,sub,EventNumber
Context,4,17,59
Self,1,17,26
Context,2,17,11
Self,13,17,72
Self,3,17,41
Context,1,17,46
Context,1,17,17
Context,1,17,48
Self,3,17,61
Self,13,17,78
Context,3,17,19
Self,3,17,74
Context,3,17,68
Self,2,17,77
Self,2,17,37
Context,1,17,64
Self,1,17,44
Self,13,17,2
Context,1,17,10
Self,2,17,36
Context,1,17,54
Context,1,17,45
Context,1,17,43
Self,13,17,32
Self,2,17,35
Context,1,17,53
Self,1,17,15
Self,13,17,7
Context,1,17,66
Context,1,17,3
Self,1,17,65
Context,1,17,49
Self,13,17,80
Context,3,17,42
Context,1,17,75
Self,1,17,55
Context,4,17,60
Self,13,17,27
Context,1,17,13
Context,4,17,79
Self,1,17,14
Self,1,17,6
Context,1,17,62
Context,1,17,22
Context,1,17,70
Self,13,17,56
Self,13,17,16
Self,13,17,52
Context,2,17,30
Self,1,17,76
Context,4,17,73
Self,1,17,50
Self,13,17,9
Context,1,17,38
Context,1,17,24
Self,13,17,57
Self,13,17,31
Context,1,17,71
Self,13,17,4
Context,4,17,21
Context,1,17,23
Self,6,17,51
Self,1,17,67
Context,2,17,29
,,,58
,,,20
,,,39
