EventNumber,Detail,Vividness,Valence,Regret,Control,R1,R2,difference
62,3,4,1,6,2,1,2,6
8,3,2,4,1,2,1,2,5
42,4,5,1,6,2,7,2,5
5,3,2,4,3,7,1,2,4
40,2,3,3,5,2,1,2,4
61,2,3,2,3,2,2,2,4
10,5,5,1,7,2,5,2,3
13,2,3,1,7,7,6,3,3
19,4,4,2,4,4,6,3,3
21,5,5,1,6,3,5,2,3
37,1,1,2,7,6,2,5,3
38,2,3,2,5,5,7,4,3
55,2,3,2,5,2,2,5,3
64,3,2,1,4,2,1,4,3
71,4,5,2,4,2,1,4,3
73,5,5,1,7,2,5,2,3
76,2,3,2,5,5,7,4,3
3,5,5,1,7,5,1,3,2
4,4,3,1,7,6,7,5,2
9,5,5,1,2,2,1,3,2
15,2,2,2,5,2,7,5,2
17,2,1,1,7,7,6,4,2
23,2,3,5,1,7,7,5,2
26,4,4,2,5,4,5,3,2
27,3,2,3,4,3,7,5,2
29,4,3,1,6,2,5,3,2
32,4,3,3,6,2,3,1,2
35,2,4,2,7,6,5,7,2
39,2,3,3,4,6,6,4,2
45,4,5,2,4,6,5,3,2
51,2,1,3,6,6,5,3,2
56,3,4,1,5,1,4,2,2
58,4,4,1,7,2,7,5,2
65,3,4,1,3,5,5,3,2
70,4,5,1,7,2,5,3,2
72,4,5,1,7,2,4,2,2
2,5,5,1,7,3,5,4,1
6,4,4,2,4,4,7,6,1
7,5,5,6,5,5,6,5,1
11,2,3,2,3,5,5,4,1
14,3,2,3,5,8,7,6,1
16,4,5,2,5,4,5,6,1
18,5,5,1,5,3,2,1,1
20,5,5,2,5,3,4,3,1
22,4,4,3,1,4,6,7,1
24,5,5,1,7,6,5,6,1
25,3,2,2,4,2,1,2,1
28,4,4,2,5,2,1,2,1
30,4,4,1,5,2,3,2,1
33,3,2,3,6,2,2,1,1
34,2,3,2,4,2,1,2,1
43,3,3,4,1,4,5,4,1
46,2,3,4,4,6,6,7,1
50,2,1,3,4,5,7,6,1
57,2,2,2,4,2,4,3,1
59,4,5,1,5,2,5,4,1
63,3,5,1,6,2,1,2,1
66,3,4,2,5,2,5,4,1
67,2,4,2,5,2,7,6,1
1,4,5,4,1,2,1,1,0
12,5,5,1,5,2,1,1,0
31,4,2,1,4,2,2,2,0
36,1,2,3,6,8,7,7,0
41,3,4,3,4,2,6,6,0
44,2,2,2,6,7,6,6,0
47,2,3,2,4,2,1,1,0
48,3,4,2,4,2,4,4,0
49,2,3,3,5,3,5,5,0
52,3,3,1,7,3,7,7,0
53,2,4,1,6,7,7,7,0
54,3,4,2,6,3,5,5,0
60,2,3,3,4,2,5,5,0
68,4,5,1,6,2,5,5,0
69,3,5,1,4,2,1,1,0
74,4,3,3,3,6,7,7,0
75,3,2,3,5,4,7,7,0
77,2,2,2,4,4,6,6,0
78,3,5,1,7,3,5,5,0
79,2,1,3,4,6,6,6,0
80,3,5,1,6,2,4,4,0
