EventNumber,Detail,Vividness,Valence,Regret,Control,R1,R2,rating,Condition,sub
59,4,5,1,5,2,5,4,4.5,2,17
26,4,4,2,5,4,5,3,4,1,17
11,2,3,2,3,5,5,4,4.5,2,17
72,4,5,1,7,2,4,2,3,1,17
41,3,4,3,4,2,6,6,6,1,17
46,2,3,4,4,6,6,7,6.5,2,17
17,2,1,1,7,7,6,4,5,2,17
48,3,4,2,4,2,4,4,4,2,17
61,2,3,2,3,2,2,2,2,1,17
78,3,5,1,7,3,5,5,5,1,17
19,4,4,2,4,4,6,3,4.5,2,17
74,4,3,3,3,6,7,7,7,1,17
68,4,5,1,6,2,5,5,5,2,17
77,2,2,2,4,4,6,6,6,1,17
37,1,1,2,7,6,2,5,3.5,1,17
64,3,2,1,4,2,1,4,2.5,2,17
44,2,2,2,6,7,6,6,6,1,17
2,5,5,1,7,3,5,4,4.5,1,17
10,5,5,1,7,2,5,2,3.5,2,17
36,1,2,3,6,8,7,7,7,1,17
54,3,4,2,6,3,5,5,5,2,17
45,4,5,2,4,6,5,3,4,2,17
43,3,3,4,1,4,5,4,4.5,2,17
32,4,3,3,6,2,3,1,2,1,17
35,2,4,2,7,6,5,7,6,1,17
53,2,4,1,6,7,7,7,7,2,17
15,2,2,2,5,2,7,5,6,1,17
7,5,5,6,5,5,6,5,5.5,1,17
66,3,4,2,5,2,5,4,4.5,2,17
3,5,5,1,7,5,1,3,2,2,17
65,3,4,1,3,5,5,3,4,1,17
49,2,3,3,5,3,5,5,5,2,17
80,3,5,1,6,2,4,4,4,1,17
42,4,5,1,6,2,7,2,4.5,2,17
75,3,2,3,5,4,7,7,7,2,17
55,2,3,2,5,2,2,5,3.5,1,17
60,2,3,3,4,2,5,5,5,2,17
27,3,2,3,4,3,7,5,6,1,17
13,2,3,1,7,7,6,3,4.5,2,17
79,2,1,3,4,6,6,6,6,2,17
14,3,2,3,5,8,7,6,6.5,1,17
6,4,4,2,4,4,7,6,6.5,1,17
62,3,4,1,6,2,1,2,1.5,2,17
22,4,4,3,1,4,6,7,6.5,2,17
70,4,5,1,7,2,5,3,4,2,17
56,3,4,1,5,1,4,2,3,1,17
16,4,5,2,5,4,5,6,5.5,1,17
52,3,3,1,7,3,7,7,7,1,17
30,4,4,1,5,2,3,2,2.5,2,17
76,2,3,2,5,5,7,4,5.5,1,17
73,5,5,1,7,2,5,2,3.5,2,17
50,2,1,3,4,5,7,6,6.5,1,17
9,5,5,1,2,2,1,3,2,1,17
38,2,3,2,5,5,7,4,5.5,2,17
24,5,5,1,7,6,5,6,5.5,2,17
57,2,2,2,4,2,4,3,3.5,1,17
31,4,2,1,4,2,2,2,2,1,17
71,4,5,2,4,2,1,4,2.5,2,17
4,4,3,1,7,6,7,5,6,1,17
21,5,5,1,6,3,5,2,3.5,2,17
23,2,3,5,1,7,7,5,6,2,17
51,2,1,3,6,6,5,3,4,1,17
67,2,4,2,5,2,7,6,6.5,1,17
29,4,3,1,6,2,5,3,4,2,17
58,4,4,1,7,2,7,5,6,0,17
20,5,5,2,5,3,4,3,3.5,0,17
39,2,3,3,4,6,6,4,5,0,17
