EventNumber,Detail,Vividness,Valence,Regret,Control,R1,R2,rating,Condition,sub
57,6,7,3,1,4,6,5,5.5,2,22
32,5,5,2,7,7,5,5,5,1,22
43,6,5,1,4,3,6,4,5,2,22
59,5,6,1,5,7,4,5,4.5,1,22
4,5,5,4,1,5,6,7,6.5,1,22
61,7,7,3,4,2,7,7,7,2,22
54,6,5,3,4,4,5,7,6,2,22
52,7,7,3,1,5,5,5,5,2,22
50,4,5,3,1,1,3,5,4,1,22
8,6,6,1,2,3,5,6,5.5,1,22
42,6,6,1,1,5,4,6,5,2,22
64,5,6,1,1,4,7,7,7,1,22
53,5,5,1,6,6,7,4,5.5,2,22
76,6,6,2,3,1,6,7,6.5,1,22
26,7,7,1,1,1,4,5,4.5,1,22
74,6,6,1,4,6,5,4,4.5,2,22
70,5,5,1,4,7,7,6,6.5,1,22
46,4,5,3,4,4,6,5,5.5,1,22
71,6,7,3,6,7,5,5,5,2,22
44,5,5,1,2,1,7,7,7,1,22
18,6,6,1,6,3,5,6,5.5,2,22
36,6,6,3,6,7,6,4,5,2,22
41,4,4,1,5,4,5,5,5,2,22
5,7,7,3,1,7,3,5,4,1,22
69,7,7,1,7,7,7,6,6.5,1,22
35,7,7,1,7,7,7,7,7,2,22
63,5,6,1,1,3,7,6,6.5,1,22
20,7,7,2,4,6,7,5,6,1,22
80,5,4,1,4,5,4,6,5,2,22
72,7,7,1,1,1,5,3,4,2,22
6,4,5,2,1,6,6,4,5,1,22
77,5,6,1,1,4,5,6,5.5,2,22
31,6,5,2,5,7,5,5,5,1,22
33,5,4,3,3,7,7,4,5.5,2,22
67,6,7,1,2,6,7,7,7,2,22
27,6,6,1,5,7,5,4,4.5,1,22
23,5,5,2,1,1,5,6,5.5,2,22
68,6,5,3,2,5,6,7,6.5,1,22
45,5,5,3,3,3,5,6,5.5,2,22
40,6,6,1,1,1,7,5,6,2,22
7,4,4,3,1,4,7,7,7,1,22
60,6,6,2,7,7,7,7,7,1,22
16,5,4,3,1,1,5,3,4,2,22
30,3,5,3,2,4,7,7,7,2,22
58,7,7,2,2,5,6,4,5,2,22
55,5,6,1,3,1,4,5,4.5,1,22
48,5,7,1,4,7,6,6,6,1,22
34,6,6,1,5,7,7,7,7,1,22
78,6,6,1,1,3,5,4,4.5,2,22
12,4,5,1,3,5,6,6,6,1,22
17,5,5,1,7,6,5,4,4.5,2,22
37,5,5,3,7,7,7,7,7,1,22
66,5,4,2,4,3,5,3,4,1,22
3,5,7,1,4,4,6,6,6,2,22
73,4,6,1,4,5,7,5,6,2,22
39,7,7,1,6,4,5,4,4.5,1,22
49,5,6,2,1,1,4,4,4,1,22
21,6,6,2,3,2,5,4,4.5,2,22
24,5,5,1,6,5,6,7,6.5,1,22
11,5,6,1,5,5,5,4,4.5,2,22
56,7,7,1,4,5,7,5,6,2,22
65,6,5,3,4,3,5,5,5,1,22
1,6,5,3,1,7,7,7,7,1,22
75,4,3,1,4,1,5,5,5,2,22
62,6,5,1,2,1,7,6,6.5,0,22
38,7,7,1,1,1,4,5,4.5,0,22
47,5,5,1,5,4,5,6,5.5,0,22
