Condition,Frequency,sub,EventNumber
Context,1,22,57
Self,7,22,32
Context,6,22,43
Self,4,22,59
Self,6,22,4
Context,7,22,61
Context,5,22,54
Context,4,22,52
Self,2,22,50
Self,5,22,8
Context,7,22,42
Self,4,22,64
Context,1,22,53
Self,5,22,76
Self,4,22,26
Context,4,22,74
Self,4,22,70
Self,7,22,46
Context,2,22,71
Self,4,22,44
Context,7,22,18
Context,3,22,36
Context,4,22,41
Self,5,22,5
Self,5,22,69
Context,6,22,35
Self,4,22,63
Self,,22,20
Context,7,22,80
Context,5,22,72
Self,5,22,6
Context,4,22,77
Self,5,22,31
Context,5,22,33
Context,6,22,67
Self,7,22,27
Context,5,22,23
Self,4,22,68
Context,1,22,45
Context,6,22,40
Self,6,22,7
Self,6,22,60
Context,6,22,16
Context,5,22,30
Context,4,22,58
Self,5,22,55
Self,6,22,48
Self,5,22,34
Context,5,22,78
Self,7,22,12
Context,7,22,17
Self,3,22,37
Self,5,22,66
Context,,22,3
Context,5,22,73
Self,7,22,39
Self,7,22,49
Context,6,22,21
Self,7,22,24
Context,,22,11
Context,,22,56
Self,,22,65
Self,7,22,1
Context,,22,75
,,,62
,,,38
,,,47
