EventNumber,Detail,Vividness,Valence,Regret,Control,R1,R2,difference
9,7,7,1,6,5,1,3,6
50,4,5,3,1,1,3,5,4
2,6,7,1,5,2,4,3,3
5,7,7,3,1,7,3,5,3
10,4,6,1,1,4,2,4,3
19,5,5,2,5,5,5,2,3
29,6,6,1,1,2,1,4,3
33,5,4,3,3,7,7,4,3
53,5,5,1,6,6,7,4,3
6,4,5,2,1,6,6,4,2
15,5,5,2,1,1,3,1,2
16,5,4,3,1,1,5,3,2
20,7,7,2,4,6,7,5,2
28,5,6,3,1,1,5,3,2
36,6,6,3,6,7,6,4,2
40,6,6,1,1,1,7,5,2
42,6,6,1,1,5,4,6,2
43,6,5,1,4,3,6,4,2
54,6,5,3,4,4,5,7,2
56,7,7,1,4,5,7,5,2
58,7,7,2,2,5,6,4,2
66,5,4,2,4,3,5,3,2
72,7,7,1,1,1,5,3,2
73,4,6,1,4,5,7,5,2
80,5,4,1,4,5,4,6,2
4,5,5,4,1,5,6,7,1
8,6,6,1,2,3,5,6,1
11,5,6,1,5,5,5,4,1
13,6,5,3,4,4,4,3,1
17,5,5,1,7,6,5,4,1
18,6,6,1,6,3,5,6,1
21,6,6,2,3,2,5,4,1
23,5,5,2,1,1,5,6,1
24,5,5,1,6,5,6,7,1
26,7,7,1,1,1,4,5,1
27,6,6,1,5,7,5,4,1
38,7,7,1,1,1,4,5,1
39,7,7,1,6,4,5,4,1
45,5,5,3,3,3,5,6,1
46,4,5,3,4,4,6,5,1
47,5,5,1,5,4,5,6,1
55,5,6,1,3,1,4,5,1
57,6,7,3,1,4,6,5,1
59,5,6,1,5,7,4,5,1
62,6,5,1,2,1,7,6,1
63,5,6,1,1,3,7,6,1
68,6,5,3,2,5,6,7,1
69,7,7,1,7,7,7,6,1
70,5,5,1,4,7,7,6,1
74,6,6,1,4,6,5,4,1
76,6,6,2,3,1,6,7,1
77,5,6,1,1,4,5,6,1
78,6,6,1,1,3,5,4,1
79,4,4,1,1,1,1,2,1
1,6,5,3,1,7,7,7,0
3,5,7,1,4,4,6,6,0
7,4,4,3,1,4,7,7,0
12,4,5,1,3,5,6,6,0
14,4,4,3,1,1,1,1,0
22,6,6,3,1,1,2,2,0
25,6,6,2,1,1,1,1,0
30,3,5,3,2,4,7,7,0
31,6,5,2,5,7,5,5,0
32,5,5,2,7,7,5,5,0
34,6,6,1,5,7,7,7,0
35,7,7,1,7,7,7,7,0
37,5,5,3,7,7,7,7,0
41,4,4,1,5,4,5,5,0
44,5,5,1,2,1,7,7,0
48,5,7,1,4,7,6,6,0
49,5,6,2,1,1,4,4,0
51,6,6,1,4,1,1,1,0
52,7,7,3,1,5,5,5,0
60,6,6,2,7,7,7,7,0
61,7,7,3,4,2,7,7,0
64,5,6,1,1,4,7,7,0
65,6,5,3,4,3,5,5,0
67,6,7,1,2,6,7,7,0
71,6,7,3,6,7,5,5,0
75,4,3,1,4,1,5,5,0
