EventNumber,Detail,Vividness,Valence,Regret,Control,R1,R2,rating,Condition,sub
11,6,4,2,4,2,7,4,5.5,2,2
67,2,3,3,3,2,4,6,5,1,2
35,3,5,3,4,1,5,6,5.5,2,2
31,3,2,3,1,1,4,4,4,1,2
34,5,6,3,1,2,6,7,6.5,1,2
30,2,2,4,2,5,7,7,7,2,2
16,5,4,3,5,2,5,7,6,2,2
53,4,6,4,2,1,6,4,5,2,2
13,3,2,3,3,1,4,3,3.5,1,2
23,4,4,4,3,7,5,7,6,1,2
29,5,6,3,4,4,6,5,5.5,2,2
54,5,5,2,4,3,7,7,7,1,2
38,4,5,3,3,1,5,7,6,2,2
21,3,3,3,3,5,6,7,6.5,1,2
44,3,6,3,2,1,2,7,4.5,1,2
58,2,2,3,3,2,4,4,4,2,2
9,5,5,3,3,6,7,6,6.5,1,2
1,5,5,2,5,1,6,5,5.5,1,2
32,2,2,2,6,5,5,4,4.5,2,2
49,2,1,2,4,1,7,7,7,1,2
28,4,4,4,3,6,6,6,6,2,2
48,4,6,4,4,2,6,4,5,2,2
17,4,2,1,6,1,5,5,5,2,2
60,5,6,3,2,1,2,5,3.5,1,2
3,5,4,3,4,5,6,7,6.5,1,2
41,5,5,2,4,4,7,7,7,2,2
2,6,6,3,5,6,7,6,6.5,1,2
8,3,2,3,3,6,7,5,6,1,2
57,5,5,NA,NA,NA,5,6,5.5,2,2
78,4,3,4,2,7,3,5,4,2,2
71,2,2,2,1,5,5,5,5,1,2
61,2,2,4,1,1,6,6,6,2,2
42,2,3,3,2,4,5,5,5,1,2
72,2,5,4,1,7,5,7,6,2,2
55,2,2,2,5,1,7,7,7,2,2
51,3,4,3,2,1,5,4,4.5,1,2
62,3,3,4,3,2,5,7,6,2,2
26,5,6,3,4,6,6,7,6.5,1,2
74,2,4,4,2,5,6,6,6,2,2
37,2,4,3,3,5,6,7,6.5,2,2
33,4,3,3,4,5,7,7,7,1,2
77,3,4,2,4,1,7,7,7,1,2
76,2,5,3,1,2,5,2,3.5,2,2
19,3,3,4,1,4,7,7,7,2,2
80,2,3,2,2,4,6,4,5,2,2
24,6,6,2,3,7,3,5,4,1,2
70,2,3,2,4,6,5,7,6,1,2
14,3,2,2,6,6,7,7,7,1,2
73,2,2,3,2,1,5,3,4,2,2
25,6,6,2,4,7,5,7,6,1,2
20,2,1,3,3,3,4,5,4.5,2,2
27,6,6,4,4,4,7,7,7,1,2
12,6,6,2,5,1,3,4,3.5,1,2
68,2,1,1,6,1,6,6,6,2,2
79,5,5,4,1,3,6,7,6.5,2,2
69,2,5,4,1,1,4,5,4.5,1,2
64,4,5,2,2,1,5,2,3.5,1,2
22,5,5,4,2,7,5,3,4,2,2
46,3,6,4,5,7,7,7,7,1,2
5,4,3,3,4,3,4,5,4.5,2,2
50,3,5,4,4,4,6,7,6.5,2,2
75,2,3,4,2,5,6,4,5,1,2
18,3,3,3,3,5,7,7,7,1,2
56,4,5,2,5,2,4,6,5,2,2
15,3,2,2,6,6,7,6,6.5,0,2
63,2,1,4,2,3,3,6,4.5,0,2
40,4,4,4,2,5,6,6,6,0,2
