Condition,Frequency,sub,EventNumber
Context,3,2,11
Self,2,2,67
Context,2,2,35
Self,1,2,31
Self,2,2,34
Context,2,2,30
Context,3,2,16
Context,1,2,53
Self,1,2,13
Self,3,2,23
Context,3,2,29
Self,2,2,54
Context,2,2,38
Self,2,2,21
Self,1,2,44
Context,1,2,58
Self,3,2,9
Self,4,2,1
Context,4,2,32
Self,3,2,49
Context,2,2,28
Context,1,2,48
Context,5,2,17
Self,1,2,60
Self,2,2,3
Context,3,2,41
Self,2,2,2
Self,2,2,8
Context,3,2,57
Context,1,2,78
Self,1,2,71
Context,2,2,61
Self,1,2,42
Context,1,2,72
Context,3,2,55
Self,1,2,51
Context,1,2,62
Self,2,2,26
Context,1,2,74
Context,2,2,37
Self,2,2,33
Self,1,2,77
Context,1,2,76
Context,1,2,19
Context,2,2,80
Self,4,2,24
Self,2,2,70
Self,4,2,14
Context,1,2,73
Self,4,2,25
Context,1,2,20
Self,2,2,27
Self,1,2,12
Context,4,2,68
Context,1,2,79
Self,1,2,69
Self,1,2,64
Context,1,2,22
Self,2,2,46
Context,2,2,5
Context,2,2,50
Self,1,2,75
Self,1,2,18
Context,3,2,56
,,,15
,,,63
,,,40
