EventNumber,Detail,Vividness,Valence,Regret,Control,R1,R2,difference
15,5,5,3,4,1,5,5,4
17,5,6,6,1,2,5,5,4
16,4,4,4,4,1,6,4,3
12,2,3,4,5,3,4,5,2
14,4,4,4,3,5,3,4,2
27,2,1,5,1,4,7,6,2
28,4,5,3,3,1,5,3,2
29,4,3,6,1,3,6,5,2
36,3,4,6,1,2,5,6,2
47,5,3,7,1,2,4,4,2
48,2,4,3,2,5,7,6,2
53,3,4,3,2,2,6,5,2
54,6,6,2,3,1,7,6,2
56,4,3,3,5,2,7,6,2
57,2,1,5,3,6,7,6,2
58,5,6,2,6,3,6,5,2
59,3,2,6,1,2,7,6,2
61,1,2,4,4,4,5,5,2
62,5,5,3,5,6,7,6,2
71,5,5,4,2,1,7,6,2
73,4,4,6,1,3,6,5,2
74,3,5,3,4,2,6,5,2
76,2,1,1,5,3,7,5,2
78,1,1,5,1,4,7,5,2
80,4,5,2,5,3,7,5,2
2,6,6,1,6,4,7,6,1
6,2,1,3,3,1,5,6,1
11,2,1,5,2,1,5,4,1
18,5,4,3,2,6,7,6,1
19,4,3,5,3,4,7,6,1
20,4,4,4,1,5,7,6,1
22,6,6,3,1,4,6,7,1
24,6,4,3,2,2,6,7,1
25,2,3,3,4,6,6,7,1
26,2,1,4,3,4,6,5,1
31,3,2,3,6,5,7,6,1
37,3,5,6,4,3,7,6,1
39,5,5,2,5,2,7,6,1
46,4,5,2,5,4,7,6,1
49,5,5,3,3,1,7,6,1
50,2,4,2,6,3,7,6,1
52,1,2,1,5,4,6,7,1
55,3,2,4,4,5,7,6,1
64,1,3,4,4,2,7,6,1
66,1,2,3,5,4,6,5,1
68,1,1,3,4,5,6,7,1
69,5,4,5,1,3,6,5,1
75,2,4,6,1,1,7,6,1
77,5,5,1,4,3,6,5,1
79,3,3,7,1,5,7,6,1
1,5,5,3,5,7,7,7,0
3,4,5,6,1,1,6,6,0
4,2,4,5,6,7,7,7,0
5,3,2,6,3,1,6,6,0
7,4,1,6,1,5,7,7,0
8,2,4,4,3,6,7,7,0
9,4,5,6,4,5,7,7,0
10,4,6,2,6,1,7,7,0
13,3,5,6,4,5,7,7,0
21,1,2,5,5,7,7,7,0
23,5,5,3,1,4,7,7,0
30,2,2,4,4,5,6,6,0
32,4,1,6,3,4,7,7,0
33,1,3,5,2,3,7,7,0
34,2,4,4,3,7,7,7,0
35,2,1,5,6,2,7,7,0
38,1,4,7,1,6,7,7,0
40,4,2,5,1,3,6,6,0
41,2,4,3,2,5,7,7,0
42,3,3,3,5,6,7,7,0
43,4,4,1,4,2,6,6,0
44,2,3,3,4,5,7,7,0
45,2,4,3,4,6,7,7,0
51,1,3,6,1,2,7,7,0
60,5,6,1,2,1,4,4,0
63,2,4,2,5,1,7,7,0
65,6,6,4,3,3,5,5,0
67,2,4,5,2,6,7,7,0
70,4,4,6,1,6,7,7,0
72,3,4,2,3,1,7,7,0
