Condition,Frequency,sub,EventNumber
Context,3,25,31
Self,1,25,19
Context,1,25,68
Self,1,25,5
Self,1,25,13
Context,1,25,34
Context,5,25,39
Context,1,25,37
Self,1,25,26
Self,1,25,50
Context,2,25,49
Self,3,25,1
Context,1,25,46
Self,1,25,7
Self,2,25,80
Context,1,25,77
Self,1,25,67
Self,1,25,25
Context,1,25,79
Self,1,25,72
Context,2,25,48
Context,1,25,59
Context,1,25,20
Self,1,25,69
Self,1,25,35
Context,1,25,63
Self,1,25,33
Self,2,25,54
Context,1,25,71
Context,3,25,74
Self,1,25,64
Context,1,25,62
Self,1,25,57
Context,1,25,22
Context,1,25,23
Self,1,25,30
Context,1,25,18
Self,1,25,9
Context,1,25,24
Context,2,25,32
Self,1,25,44
Self,1,25,41
Context,1,25,29
Context,1,25,45
Context,1,25,27
Self,6,25,3
Self,2,25,52
Self,2,25,10
Context,2,25,58
Self,3,25,2
Context,2,25,43
Self,1,25,8
Self,1,25,6
Context,1,25,38
Context,1,25,70
Self,1,25,40
Self,1,25,66
Context,1,25,53
Self,2,25,4
Context,2,25,76
Context,1,25,51
Self,1,25,75
Self,1,25,42
Context,1,25,55
,,,21
,,,78
,,,56
