Condition,Frequency,sub,EventNumber
Context,2,1,44
Self,7,1,74
Context,1,1,65
Self,2,1,62
Self,3,1,56
Context,1,1,71
Context,3,1,32
Context,1,1,77
Self,2,1,48
Self,1,1,69
Context,2,1,75
Self,4,1,23
Context,2,1,61
Self,1,1,45
Self,3,1,15
Context,1,1,16
Self,1,1,43
Self,2,1,70
Context,4,1,33
Self,2,1,18
Context,1,1,21
Context,2,1,60
Context,6,1,17
Self,2,1,76
Self,5,1,42
Context,7,1,8
Self,3,1,30
Self,7,1,10
Context,1,1,46
Context,6,1,54
Self,6,1,36
Context,1,1,27
Self,3,1,66
Context,2,1,51
Context,4,1,9
Self,4,1,28
Context,1,1,29
Self,6,1,55
Context,1,1,52
Context,3,1,58
Self,3,1,49
Self,3,1,31
Context,2,1,14
Context,3,1,57
Context,4,1,59
Self,2,1,41
Self,2,1,68
Self,7,1,1
Context,3,1,39
Self,1,1,64
Context,2,1,6
Self,1,1,63
Self,1,1,12
Context,2,1,53
Context,2,1,73
Self,1,1,37
Self,5,1,13
Context,7,1,40
Self,4,1,78
Context,2,1,79
Context,2,1,80
Self,1,1,2
Self,4,1,47
Context,2,1,34
,,,20
,,,35
,,,22
