EventNumber,Detail,Vividness,Valence,Regret,Control,R1,R2,difference
73,4,4,4,1,1,7,7,5
19,3,3,3,6,7,5,3,4
21,5,4,3,6,6,7,6,3
22,3,2,3,5,6,7,6,3
67,4,4,2,2,1,4,4,3
2,3,3,3,4,2,6,6,2
3,3,3,4,4,3,4,4,2
5,7,6,2,1,1,3,3,2
7,3,3,3,2,2,4,6,2
25,4,3,2,5,2,4,2,2
26,3,2,2,5,4,6,4,2
33,3,3,3,4,2,5,7,2
36,5,3,2,6,7,7,5,2
38,3,2,3,4,6,5,3,2
59,4,4,2,3,2,5,7,2
66,3,3,2,5,7,7,5,2
72,4,4,2,3,2,4,6,2
74,5,5,2,7,7,5,7,2
79,3,3,3,2,7,5,7,2
10,4,3,1,7,7,6,7,1
11,2,2,5,2,4,6,5,1
12,5,4,3,1,7,6,5,1
13,2,2,3,3,5,5,6,1
14,2,1,4,1,3,6,5,1
16,4,3,2,3,2,6,5,1
27,3,2,3,4,6,7,6,1
29,2,2,3,3,3,6,7,1
32,3,3,2,5,5,7,6,1
39,3,3,2,6,6,5,6,1
40,4,4,2,7,6,5,6,1
44,2,2,4,1,5,6,7,1
46,4,4,6,1,7,7,6,1
48,3,3,3,3,5,6,5,1
51,3,3,3,2,4,6,7,1
52,3,2,3,4,6,7,6,1
54,4,4,2,6,7,6,5,1
61,4,4,2,5,5,7,6,1
62,6,6,1,7,5,6,5,1
65,3,3,5,1,2,7,6,1
69,5,5,2,2,1,6,7,1
70,4,4,3,1,1,6,7,1
75,3,3,4,1,3,6,7,1
76,2,3,3,2,2,5,6,1
1,6,5,1,7,7,7,7,0
4,6,6,1,1,1,4,4,0
6,5,4,3,1,1,6,6,0
8,6,5,1,7,7,7,7,0
9,4,3,2,7,7,7,7,0
15,2,1,3,5,7,6,6,0
17,5,3,1,5,3,6,6,0
18,5,5,1,6,2,7,7,0
20,3,4,3,3,7,7,7,0
23,3,3,1,6,7,7,7,0
24,2,2,2,5,3,5,5,0
28,2,2,3,6,7,6,6,0
30,1,1,3,5,7,7,7,0
31,2,3,2,6,7,7,7,0
34,4,4,1,2,3,6,6,0
35,5,3,3,1,4,6,6,0
37,3,3,3,2,2,6,6,0
41,2,2,3,3,7,6,6,0
42,3,3,3,4,6,7,7,0
43,4,3,3,3,2,7,7,0
45,4,2,3,1,2,7,7,0
47,2,2,2,5,7,7,7,0
49,4,3,2,1,6,7,7,0
50,3,2,4,1,4,0,0,0
53,2,1,4,4,6,7,7,0
55,3,3,3,5,6,7,7,0
56,3,3,3,5,7,7,7,0
57,4,3,2,7,6,7,7,0
58,4,4,3,4,4,7,7,0
60,3,3,2,3,3,6,6,0
63,3,3,2,1,4,7,7,0
64,4,4,4,2,3,7,7,0
68,3,3,4,2,7,7,7,0
71,4,4,2,1,1,7,7,0
77,5,5,2,6,6,6,6,0
78,3,3,2,6,6,7,7,0
80,4,4,3,5,7,7,7,0
