EventNumber,Detail,Vividness,Valence,Regret,Control,R1,R2,rating,Condition,sub
44,2,2,4,1,5,6,7,6.5,2,1
74,5,5,2,7,7,5,7,6,1,1
65,3,3,5,1,2,7,6,6.5,2,1
62,6,6,1,7,5,6,5,5.5,1,1
56,3,3,3,5,7,7,7,7,1,1
71,4,4,2,1,1,7,7,7,2,1
32,3,3,2,5,5,7,6,6.5,2,1
77,5,5,2,6,6,6,6,6,2,1
48,3,3,3,3,5,6,5,5.5,1,1
69,5,5,2,2,1,6,7,6.5,1,1
75,3,3,4,1,3,6,7,6.5,2,1
23,3,3,1,6,7,7,7,7,1,1
61,4,4,2,5,5,7,6,6.5,2,1
45,4,2,3,1,2,7,7,7,1,1
15,2,1,3,5,7,6,6,6,1,1
16,4,3,2,3,2,6,5,5.5,2,1
43,4,3,3,3,2,7,7,7,1,1
70,4,4,3,1,1,6,7,6.5,1,1
33,3,3,3,4,2,5,7,6,2,1
18,5,5,1,6,2,7,7,7,1,1
21,5,4,3,6,6,7,6,6.5,2,1
60,3,3,2,3,3,6,6,6,2,1
17,5,3,1,5,3,6,6,6,2,1
76,2,3,3,2,2,5,6,5.5,1,1
42,3,3,3,4,6,7,7,7,1,1
8,6,5,1,7,7,7,7,7,2,1
30,1,1,3,5,7,7,7,7,1,1
10,4,3,1,7,7,6,7,6.5,1,1
46,4,4,6,1,7,7,6,6.5,2,1
54,4,4,2,6,7,6,5,5.5,2,1
36,5,3,2,6,7,7,5,6,1,1
27,3,2,3,4,6,7,6,6.5,2,1
66,3,3,2,5,7,7,5,6,1,1
51,3,3,3,2,4,6,7,6.5,2,1
9,4,3,2,7,7,7,7,7,2,1
28,2,2,3,6,7,6,6,6,1,1
29,2,2,3,3,3,6,7,6.5,2,1
55,3,3,3,5,6,7,7,7,1,1
52,3,2,3,4,6,7,6,6.5,2,1
58,4,4,3,4,4,7,7,7,2,1
49,4,3,2,1,6,7,7,7,1,1
31,2,3,2,6,7,7,7,7,1,1
14,2,1,4,1,3,6,5,5.5,2,1
57,4,3,2,7,6,7,7,7,2,1
59,4,4,2,3,2,5,7,6,2,1
41,2,2,3,3,7,6,6,6,1,1
68,3,3,4,2,7,7,7,7,1,1
1,6,5,1,7,7,7,7,7,1,1
39,3,3,2,6,6,5,6,5.5,2,1
64,4,4,4,2,3,7,7,7,1,1
6,5,4,3,1,1,6,6,6,2,1
63,3,3,2,1,4,7,7,7,1,1
12,5,4,3,1,7,6,5,5.5,1,1
53,2,1,4,4,6,7,7,7,2,1
73,4,4,4,1,1,7,7,7,2,1
37,3,3,3,2,2,6,6,6,1,1
13,2,2,3,3,5,5,6,5.5,1,1
40,4,4,2,7,6,5,6,5.5,2,1
78,3,3,2,6,6,7,7,7,1,1
79,3,3,3,2,7,5,7,6,2,1
80,4,4,3,5,7,7,7,7,2,1
2,3,3,3,4,2,6,6,6,1,1
47,2,2,2,5,7,7,7,7,1,1
34,4,4,1,2,3,6,6,6,2,1
20,3,4,3,3,7,7,7,7,0,1
35,5,3,3,1,4,6,6,6,0,1
22,3,2,3,5,6,7,6,6.5,0,1
