EventNumber,Detail,Vividness,Valence,Regret,Control,R1,R2,rating,Condition,sub
9,6,6,3,4,4,7,4,5.5,2,14
7,7,7,4,3,5,6,4,5,1,14
17,5,6,2,6,1,7,3,5,2,14
33,6,5,4,5,2,5,3,4,1,14
34,5,7,2,6,7,7,6,6.5,1,14
78,6,5,4,5,5,7,7,7,2,14
76,4,5,3,5,7,5,7,6,2,14
32,7,7,6,4,7,6,4,5,2,14
28,7,5,4,5,7,3,4,3.5,1,14
18,6,6,4,6,7,7,5,6,1,14
6,4,3,3,7,7,6,5,5.5,2,14
42,6,5,3,7,7,7,7,7,1,14
16,7,6,3,7,4,6,6,6,2,14
48,6,7,1,7,7,6,7,6.5,1,14
63,6,3,4,6,7,4,5,4.5,1,14
71,7,4,4,3,1,5,3,4,2,14
45,7,7,1,6,5,7,6,6.5,1,14
73,7,4,1,7,7,6,5,5.5,1,14
38,7,7,3,5,2,6,3,4.5,2,14
25,6,4,3,6,7,7,7,7,1,14
67,7,7,4,3,3,7,5,6,2,14
3,7,7,5,2,3,5,5,5,2,14
75,5,6,2,5,1,6,4,5,2,14
15,7,6,2,5,1,4,2,3,1,14
44,7,7,1,7,5,7,6,6.5,1,14
19,3,4,3,6,7,7,7,7,2,14
41,7,6,5,5,7,7,7,7,1,14
43,7,5,3,6,4,7,5,6,1,14
39,5,4,2,7,7,3,7,5,2,14
50,5,4,1,4,5,4,3,3.5,2,14
37,4,3,3,5,1,4,6,5,1,14
35,5,4,5,2,5,7,5,6,2,14
52,4,3,3,7,7,5,5,5,1,14
11,5,4,6,2,2,7,5,6,2,14
60,7,5,3,5,7,7,7,7,2,14
49,7,6,5,4,1,5,4,4.5,1,14
4,7,7,6,6,5,5,7,6,2,14
80,7,4,1,7,7,7,6,6.5,1,14
26,5,3,6,5,7,5,7,6,2,14
59,5,4,3,7,7,7,6,6.5,2,14
20,6,6,4,6,7,7,7,7,1,14
62,7,7,3,7,7,7,7,7,1,14
61,5,4,3,5,1,3,3,3,2,14
64,7,6,4,5,7,7,7,7,2,14
40,7,4,3,6,6,5,5,5,2,14
29,5,4,4,4,1,5,3,4,1,14
21,4,5,3,5,7,7,5,6,1,14
1,6,6,3,6,5,7,7,7,1,14
77,6,3,4,5,3,5,3,4,2,14
22,5,4,2,6,5,7,5,6,1,14
23,3,2,4,5,4,7,2,4.5,2,14
66,7,4,4,7,4,7,7,7,1,14
55,6,5,1,6,1,4,3,3.5,1,14
69,5,4,6,2,5,6,7,6.5,2,14
5,7,7,5,2,6,7,6,6.5,2,14
58,7,4,3,6,2,6,2,4,1,14
56,7,7,3,5,1,5,2,3.5,1,14
12,4,3,5,4,3,5,3,4,2,14
14,6,6,5,3,7,7,7,7,1,14
57,5,6,3,4,4,4,5,4.5,2,14
79,6,3,4,3,7,7,6,6.5,2,14
13,7,6,3,3,1,6,3,4.5,1,14
2,4,4,4,7,3,7,7,7,1,14
31,7,5,3,6,7,6,4,5,2,14
24,5,3,5,2,7,7,7,7,0,14
53,5,6,6,6,2,5,4,4.5,0,14
54,4,6,4,5,7,6,6,6,0,14
